"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Y5ta3KAB","500Qk00000MUjpSIAT","TextPost","0054u000008ARZjAAO","2025-03-03T14:14:11.000Z","Description: Hi Support,

I have updated some of our clients today to version 6.2.4.2000 and one of them is now not reporting correctly. It started off with the machine not showing that the new version of the client was installed so i removed the agent and reinstalled it but this didn't help. I have tried completely removing the agent and delete the computer from the server console but nothing is working with it. Please could you advise what i can do to find out what is causing this behaviour.

Kind Regards,
Andrew","","","","0054u000008ARZjAAO","2025-03-03T14:14:11.000Z"
"0D5Qk00000Y9j7aKAB","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-04T11:57:50.000Z","Invitation updated. Attendees: Botond Biro","","","","005Qk000001nVi2IAE","2025-03-04T11:57:50.000Z"
"0D5Qk00000Y9j7bKAB","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-04T11:57:50.000Z","Invitation updated. Attendees: Botond Biro, Andrew Temple","","","","005Qk000001nVi2IAE","2025-03-04T11:57:50.000Z"
"0D5Qk00000Y9j7ZKAR","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-04T11:57:50.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nVi2IAE","2025-03-04T11:57:50.000Z"
"0D5Qk00000YRM4wKAH","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-06T13:56:39.000Z","What We've Learned Updated: - server version: 5.9.4.1
- client version: 6.2.4.2
- windows server
- client was installed manually
- uninstalled the client with the ZAP tool, than reinstalled it without success
- Security software: Eset server security. We stopped it, but the connection still wasn't made. The customer also whitelisted the EPP processes
- the customer opened the communication in the firewall
- found the following error in the eppclient.log:
ConnectedDevices request failed. cURL error is: 58, schannel: Failed to import cert file (memory blob), password is bad, proxy: false [CSoapClient::SendRequest SoapClient.cpp:339]","","","","005Qk000001nVi2IAE","2025-03-06T13:56:39.000Z"
"0D5Qk00000YRBhNKAX","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-06T13:59:08.000Z","What We've Learned Updated: - server version: 5.9.4.1
- client version: 6.2.4.2
- windows server
- client was installed manually
- uninstalled the client with the ZAP tool, than reinstalled it without success
- Security software: Eset server security. We stopped it, but the connection still wasn't made. The customer also whitelisted the EPP processes
- the customer opened the communication in the firewall
- the EPP client has a last server connection, but it's not connected
- it shows up as online and licensed, but the client version is missing
- found the following error in the eppclient.log:
ConnectedDevices request failed. cURL error is: 58, schannel: Failed to import cert file (memory blob), password is bad, proxy: false [CSoapClient::SendRequest SoapClient.cpp:339]","","","","005Qk000001nVi2IAE","2025-03-06T13:59:08.000Z"
"0D5Qk00000YY5NAKA1","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-07T12:48:34.000Z","What We've Learned Updated: - server version: 5.9.4.1
- client version: 6.2.4.2
- windows server
- client was installed manually
- uninstalled the client with the ZAP tool, than reinstalled it without success
- Security software: Eset server security. We stopped it, but the connection still wasn't made. The customer also whitelisted the EPP processes
- the customer opened the communication in the firewall
- the EPP client has a last server connection, but it's not connected
- it shows up as online and licensed, but the client version is missing
- re-registered clients
- found the following error in the eppclient.log:
ConnectedDevices request failed. cURL error is: 58, schannel: Failed to import cert file (memory blob), password is bad, proxy: false [CSoapClient::SendRequest SoapClient.cpp:339]","","","","005Qk000001nVi2IAE","2025-03-07T12:48:34.000Z"
"0D5Qk00000YY5NBKA1","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-07T12:48:34.000Z","Next Steps Updated: what windows server","","","","005Qk000001nVi2IAE","2025-03-07T12:48:34.000Z"
"0D5Qk00000YYBK8KAP","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-07T12:54:32.000Z","Next Steps Updated: what windows server
any other windows servers with the same config?","","","","005Qk000001nVi2IAE","2025-03-07T12:54:32.000Z"
"0D5Qk00000Yp5YuKAJ","500Qk00000MUjpSIAT","TextPost","005Qk000001nVi2IAE","2025-03-10T15:05:23.000Z","Next Steps Updated: waiting on the customer to provide further details","","","","005Qk000001nVi2IAE","2025-03-10T15:05:23.000Z"
