"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000eZzXuKAK","500Qk00000PKMpCIAX","TextPost","0054u000008ARZjAAO","2025-05-19T13:35:03.000Z","Description: After updating the endpoint client to the latest version, the update failed, and some laptops are displaying a black screen after the user logs in.","","","","0054u000008ARZjAAO","2025-05-19T13:35:03.000Z"
"0D5Qk00000eZup6KAC","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-19T13:57:28.000Z","What We've Learned Updated: 19.05
- After updating the endpoint client to the latest version, the update failed, and some laptops are displaying a black screen after the user logs in.
- asked for further details","","","","005Qk000001nVi2IAE","2025-05-19T13:57:28.000Z"
"0D5Qk00000ea7dTKAQ","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-19T13:57:41.000Z","Next Steps Updated: 19.05
- waiting on the customer to provide further details","","","","005Qk000001nVi2IAE","2025-05-19T13:57:41.000Z"
"0D5Qk00000ea0miKAA","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-19T14:52:22.000Z","What We've Learned Updated: 19.05
- After updating the endpoint client to the latest version, the update failed, and some laptops are displaying a black screen after the user logs in.
- asked for further details
- upgrade style: Some using EPP and some using  Intune.
- client version: 6.0.1.6 to 6.2.4.1
- Widows 11
- Till now 6 laptops
- First, the laptop got stuck, and after a restart and login, the screen turns black.
- need to check this internally to see how to proceed","","","","005Qk000001nVi2IAE","2025-05-19T14:52:22.000Z"
"0D5Qk00000eaHjJKAU","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-19T14:52:38.000Z","Next Steps Updated: 19.05
- waiting on the customer to provide further details
- check this internally with Adi and T2","","","","005Qk000001nVi2IAE","2025-05-19T14:52:38.000Z"
"0D5Qk00000edYNxKAM","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-20T12:17:52.000Z","What We've Learned Updated: 19.05
- After updating the endpoint client to the latest version, the update failed, and some laptops are displaying a black screen after the user logs in.
- asked for further details
- upgrade style: Some using EPP and some using  Intune.
- client version: 6.0.1.6 to 6.2.4.1
- Widows 11
- Till now 6 laptops
- First, the laptop got stuck, and after a restart and login, the screen turns black.
- need to check this internally to see how to proceed

20.05
- asked the customer what happens after the black screen
- asked for a remote session to test with the latest client","","","","005Qk000001nVi2IAE","2025-05-20T12:17:52.000Z"
"0D5Qk00000edfAoKAI","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-20T12:18:04.000Z","Next Steps Updated: 19.05
- waiting on the customer to provide further details
- check this internally with Adi and T2

20.05
- waiting on the customer","","","","005Qk000001nVi2IAE","2025-05-20T12:18:04.000Z"
"0D5Qk00000edbkOKAQ","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-20T13:30:35.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nVi2IAE","2025-05-20T13:30:35.000Z"
"0D5Qk00000edbkQKAQ","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-20T13:30:36.000Z","Invitation updated. Attendees: Botond Biro, Adrian Draghici, mohammad.azam Azam","","","","005Qk000001nVi2IAE","2025-05-20T13:30:36.000Z"
"0D5Qk00000edbkPKAQ","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-20T13:30:36.000Z","Invitation updated. Attendees: Botond Biro, Adrian Draghici","","","","005Qk000001nVi2IAE","2025-05-20T13:30:36.000Z"
"0D5Qk00000evXIOKA2","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-21T09:13:16.000Z","What We've Learned Updated: 19.05
- After updating the endpoint client to the latest version, the update failed, and some laptops are displaying a black screen after the user logs in.
- asked for further details
- upgrade style: Some using EPP and some using  Intune.
- client version: 6.0.1.6 to 6.2.4.1
- Widows 11
- Till now 6 laptops
- First, the laptop got stuck, and after a restart and login, the screen turns black.
- need to check this internally to see how to proceed

20.05
- asked the customer what happens after the black screen
- asked for a remote session to test with the latest client

21.05
- sent the customer the offline patch for the new client - 6.2.4.2
- applied the offline patch
- customer is hosted by us
- asked the customer to film the computer what happens after restarting (after black screen)
- asked them to install the 6.2.4.2 agent instead of 6.2.4.1","","","","005Qk000001nVi2IAE","2025-05-21T09:13:16.000Z"
"0D5Qk00000ew5mkKAA","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-21T09:13:33.000Z","Next Steps Updated: 19.05
- waiting on the customer to provide further details
- check this internally with Adi and T2

20.05
- waiting on the customer

21.05
- waiting on the customer to send us the recording","","","","005Qk000001nVi2IAE","2025-05-21T09:13:33.000Z"
"0D5Qk00000ewwBJKAY","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-21T14:43:10.000Z","What We've Learned Updated: 19.05
- After updating the endpoint client to the latest version, the update failed, and some laptops are displaying a black screen after the user logs in.
- asked for further details
- upgrade style: Some using EPP and some using  Intune.
- client version: 6.0.1.6 to 6.2.4.1
- Widows 11
- Till now 6 laptops
- First, the laptop got stuck, and after a restart and login, the screen turns black.
- need to check this internally to see how to proceed

20.05
- asked the customer what happens after the black screen
- asked for a remote session to test with the latest client

21.05
- sent the customer the offline patch for the new client - 6.2.4.2
- applied the offline patch
- customer is hosted by us
- asked the customer to film the computer what happens after restarting (after black screen)
- asked them to install the 6.2.4.2 agent instead of 6.2.4.1
- the customer sent us a video recording
- involved T2 to have a look","","","","005Qk000001nVi2IAE","2025-05-21T14:43:10.000Z"
"0D5Qk00000ewnwKKAQ","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-21T14:43:20.000Z","Next Steps Updated: 19.05
- waiting on the customer to provide further details
- check this internally with Adi and T2

20.05
- waiting on the customer

21.05
- waiting on the customer to send us the recording
- waiting on T2","","","","005Qk000001nVi2IAE","2025-05-21T14:43:20.000Z"
"0D5Qk00000ewspWKAQ","500Qk00000PKMpCIAX","TextPost","005Qk000001nVi2IAE","2025-05-21T14:44:35.000Z","<p>hi @Eduard Nut​ the customer is having black screens after upgrading to 6241. First, the laptop got stuck, and after a restart and login, the screen turns black. There is a recording attached on how this happens. I also asked the customer to install 6242 instead of the old client. Do you have any ideas on how to proceed?</p>","","","","005Qk000001nVi2IAE","2025-05-21T14:44:35.000Z"
"0D5Qk00000ezZ8TKAU","500Qk00000PKMpCIAX","TextPost","005Qk000001nViBIAU","2025-05-21T21:59:45.000Z","<p>@Botond Biro​ Please try with the contender agent for 5.9.4.3 and see if the black screen is still present. I believe Andre has it on your shift.</p><p>Is the black screen also a BSOD or just the screen turns off?</p><p>This should not be caused by EPP. I would also return to 6016 and see if it works after that.</p><p>Please let me know the outcome.</p>","","","","005Qk000001nViBIAU","2025-05-21T21:59:45.000Z"
