"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000W9iXHKAZ","500Qk00000LUU7pIAH","TextPost","0054u000008ARZjAAO","2025-02-05T10:16:22.000Z","Description: I want that no one should do pull and push on any website.
They should do this only with the ""<a href='https://gitrepo.rapidops.com' target='_blank'>gitrepo.rapidops.com</a>"" website only.
Apart from this website users pull and push should be blocked.

Can you please help me on this.","","","","0054u000008ARZjAAO","2025-02-05T10:16:22.000Z"
"0D5Qk00000WAZQMKA5","500Qk00000LUU7pIAH","TextPost","005Qk000001nVi3IAE","2025-02-05T15:29:45.000Z","What We've Learned Updated: Customer have Git situation that he wants to block all the URLs beside the one that they are using internally.","","","","005Qk000001nVi3IAE","2025-02-05T15:29:45.000Z"
"0D5Qk00000WAXEqKAP","500Qk00000LUU7pIAH","TextPost","005Qk000001nVi3IAE","2025-02-05T15:30:00.000Z","Next Steps Updated: We will gather more details regarding this issue","","","","005Qk000001nVi3IAE","2025-02-05T15:30:00.000Z"
"0D5Qk00000WIvvAKAT","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-07T08:04:56.000Z","What We've Learned Updated: Customer have Git situation that he wants to block all the URLs beside the one that they are using internally.

Update 2: Prashant wants to block the ability to push/pull from both browser and GIT app but only for other GIT domains and leave the ability for his own.","","","","005Qk000003xRAXIA2","2025-02-07T08:04:56.000Z"
"0D5Qk00000WJBS9KAP","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-07T08:05:31.000Z","Next Steps Updated: We will gather more details regarding this issue

Update2: Provided further detailed steps on how to set up a proper CAP policy for his request. Will wait for his response.","","","","005Qk000003xRAXIA2","2025-02-07T08:05:31.000Z"
"0D5Qk00000WZgGjKAL","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-10T07:09:49.000Z","What We've Learned Updated: Customer reported the instructions did not work. I asked for a remote session.","","","","005Qk000003xRAXIA2","2025-02-10T07:09:49.000Z"
"0D5Qk00000Wa1ReKAJ","500Qk00000LUU7pIAH","TextPost","005Qk000001nViCIAU","2025-02-10T08:21:46.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViCIAU","2025-02-10T08:21:46.000Z"
"0D5Qk00000Wa1RfKAJ","500Qk00000LUU7pIAH","TextPost","005Qk000001nViCIAU","2025-02-10T08:21:47.000Z","Invitation updated. Attendees: Andre Le Roux, Marian Ilies","","","","005Qk000001nViCIAU","2025-02-10T08:21:47.000Z"
"0D5Qk00000Wa1RgKAJ","500Qk00000LUU7pIAH","TextPost","005Qk000001nViCIAU","2025-02-10T08:21:47.000Z","Invitation updated. Attendees: Andre Le Roux, Marian Ilies, Prashant Deshbhartar","","","","005Qk000001nViCIAU","2025-02-10T08:21:47.000Z"
"0D5Qk00000WanMbKAJ","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-10T13:29:41.000Z","What We've Learned Updated: Customer did not configure the CAP settings properly. Also DPI was not enabled.","","","","005Qk000003xRAXIA2","2025-02-10T13:29:41.000Z"
"0D5Qk00000Waj77KAB","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-10T13:30:30.000Z","Next Steps Updated: We joined the remote session and adjusted the CAP policy along with the DPI configuration for that computer.
Also we advised the client to uninstall and install the latest EPP client for Ubuntu 20.
Will wait for their response.","","","","005Qk000003xRAXIA2","2025-02-10T13:30:30.000Z"
"0D5Qk00000X1IeGKAV","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-14T12:50:46.000Z","Next Steps Updated: Cusstomer confirmed that the solution is working but he will follow up on Monday to make sure it's working properly and they will let us know.","","","","005Qk000003xRAXIA2","2025-02-14T12:50:46.000Z"
"0D5Qk00000X9nbBKAR","500Qk00000LUU7pIAH","TextPost","005Qk000003xRAXIA2","2025-02-17T07:59:06.000Z","Next Steps Updated: Followed up with the client. Will wait for their response.","","","","005Qk000003xRAXIA2","2025-02-17T07:59:06.000Z"
