"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000V9INLKA3","500Qk00000Kq7wMIAR","TextPost","0054u000008ARZjAAO","2025-01-20T11:17:31.000Z","Description: I am not being able to block PII data over email neither in application nor in webmail.

Kindly help me in this issue on priority basis because this is hampering my business.","","","","0054u000008ARZjAAO","2025-01-20T11:17:31.000Z"
"0D5Qk00000V9Mh3KAF","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-20T12:43:11.000Z","Steps to Reproduce Updated: Set CAP to block PII's over email.","","","","005Qk000001nViEIAU","2025-01-20T12:43:11.000Z"
"0D5Qk00000V9Hl8KAF","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-20T12:43:28.000Z","What We've Learned Updated: THe customer wants to allow pii internally over email.","","","","005Qk000001nViEIAU","2025-01-20T12:43:28.000Z"
"0D5Qk00000V9OPWKA3","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-20T12:45:09.000Z","Next Steps Updated: Asked the customer for a screenshot of the log generated by the pii.
Will suggest the customer to use email allowlist.","","","","005Qk000001nViEIAU","2025-01-20T12:45:09.000Z"
"0D5Qk00000VC4UDKA1","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-21T07:21:20.000Z","Steps to Reproduce Updated: 1.Set CAP to block PII's over email.
2. Attach a file to the email. (On web and app email both are blocked with the destination outlook.office.com)","","","","005Qk000001nViEIAU","2025-01-21T07:21:20.000Z"
"0D5Qk00000VBwi0KAD","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-21T07:22:02.000Z","What We've Learned Updated: The customer wants to allow pii internally over internal email and block any pii sent externally.","","","","005Qk000001nViEIAU","2025-01-21T07:22:02.000Z"
"0D5Qk00000VC1ONKA1","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-21T07:22:43.000Z","What We've Learned Updated: The customer wants to allow pii internally over internal email and block any pii sent externally.
Email attachment is blocked with destination outlook.office.com","","","","005Qk000001nViEIAU","2025-01-21T07:22:43.000Z"
"0D5Qk00000VC55JKAT","500Qk00000Kq7wMIAR","TextPost","005Qk000001nViEIAU","2025-01-21T07:23:36.000Z","Next Steps Updated: Adding outlook.office.com to the allow list is not an option.
Will confirm with dev regarding email attachment.","","","","005Qk000001nViEIAU","2025-01-21T07:23:36.000Z"
"0D5Qk00000awqsoKAA","500Qk00000Kq7wMIAR","TextPost","005Qk000001nVi2IAE","2025-04-03T09:38:06.000Z","What We've Learned Updated: The customer wants to allow pii internally over internal email and block any pii sent externally.
Email attachment is blocked with destination outlook.office.com

- Customer wants to block the Zoho Suite
- I opened a productboard feature request for it
- customer keeps pushing for it to be prioritised","","","","005Qk000001nVi2IAE","2025-04-03T09:38:06.000Z"
"0D5Qk00000awmxFKAQ","500Qk00000Kq7wMIAR","TextPost","005Qk000001nVi2IAE","2025-04-03T09:38:35.000Z","Next Steps Updated: feature request was created, currently following it","","","","005Qk000001nVi2IAE","2025-04-03T09:38:35.000Z"
"0D5Qk00000awvHzKAI","500Qk00000Kq7wMIAR","TextPost","005Qk000001nVi2IAE","2025-04-03T11:58:16.000Z","What We've Learned Updated: The customer wants to allow pii internally over internal email and block any pii sent externally.
Email attachment is blocked with destination outlook.office.com

- Customer wants to block the Zoho Suite
- I opened a productboard feature request for it
- customer keeps pushing for it to be prioritised
- link to feature request: https://netwrix.productboard.com/insights/notes/view/4364-followed-notes?d=notes%2F47243715","","","","005Qk000001nVi2IAE","2025-04-03T11:58:16.000Z"
