"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000ZlvIAKAZ","500Qk00000N9AUTIA3","TextPost","0054u000008ARZjAAO","2025-03-20T16:12:39.000Z","Description: Creamos una politica para distintos puntos de salida con acción de solo reportar controlando diccionarios, pero no se recibe logs en el servidor","","","","0054u000008ARZjAAO","2025-03-20T16:12:39.000Z"
"0D5Qk00000ZmoqHKAR","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-20T19:32:54.000Z","Next Steps Updated: Awaiting customer","","","","005Qk000002lX5pIAE","2025-03-20T19:32:54.000Z"
"0D5Qk00000ZmoqGKAR","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-20T19:32:54.000Z","What We've Learned Updated: 3/20/2025

- Sent initial email requesting the available times customer has to schedule a remote session to look over policy experiencing issues","","","","005Qk000002lX5pIAE","2025-03-24T13:44:03.000Z"
"0D5Qk00000aDIDOKA4","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-24T14:31:11.000Z","What We've Learned Updated: 3/24/2025

- Meeting scheduled for 10 Am CST

3/20/2025

- Sent initial email requesting the available times customer has to schedule a remote session to look over policy experiencing issues","","","","005Qk000002lX5pIAE","2025-03-24T14:31:11.000Z"
"0D5Qk00000aDIDPKA4","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-24T14:31:11.000Z","Next Steps Updated: Awaiting meeting","","","","005Qk000002lX5pIAE","2025-03-24T14:31:11.000Z"
"0D5Qk00000aDqkmKAC","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-24T16:16:55.000Z","Next Steps Updated: Awaiting customer to upload logs and will create ADO","","","","005Qk000002lX5pIAE","2025-03-24T16:16:55.000Z"
"0D5Qk00000aDqklKAC","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-24T16:16:55.000Z","What We've Learned Updated: 3/24/2025

- Meeting scheduled for 10 Am CST
- Joined remote session
- Customer reproduced issue: document uploads don't produce reports for text/Word files with specific words contained in denylist.
- Edited content-aware policy
- Conducted test after modifying settings
- Policy verified on the computer
- Removed PDF from policy and conducted new tests
- Customer created new Word document with example data (email address)
- Email detected remotely
- Modified Deny list to include specific terms
- Test results not reported in Content Aware reports
- Tried different browser for file uploads: still undetected
- Edited policy and custom dictionary, checked inclusion, set to detect whole words
- Tested again, still undetected
- Changed deny list dictionary 
- Updated client policies
- Policy doesn't report in Edge/Chrome after update
- Saved content of Word document and retested
- Still no reports generated
- Renamed deny list to ""dictionary"" and saved
- Updated agent, resumed Chrome/Edge testing, still no reports
- Recognized file types, emails, predefined content, but not dictionary
- Tried refreshing DLP test between attempts
- Multiple attempts may not register due to cache
- Reports still not generated
- Tested in incognito mode
- No reports after attempts
- Enabled Debug mode to log issue reproduction
- Upload test with Word/text files to DLP.test site while logs were collected
- Tests tried on different browsers with same content
- Logs collected from server
- Requested customer to upload logs to case
- Customer waiting 15-20 minutes for EPP logs for upload
* Plan to reconvene Friday at 9:30 AM Honduras time (10:20 CST) 3/28/2025
- Ended remote session


3/20/2025

- Sent initial email requesting the available times customer has to schedule a remote session to look over policy experiencing issues","","","","005Qk000002lX5pIAE","2025-03-24T16:16:55.000Z"
"0D5Qk00000aNpomKAC","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-26T21:50:18.000Z","What We've Learned Updated: 3/26/25

- Sent a follow up email to customer requesting logs be uploaded to the case
3/24/2025

- Meeting scheduled for 10 Am CST
- Joined remote session
- Customer reproduced issue: document uploads don't produce reports for text/Word files with specific words contained in denylist.
- Edited content-aware policy
- Conducted test after modifying settings
- Policy verified on the computer
- Removed PDF from policy and conducted new tests
- Customer created new Word document with example data (email address)
- Email detected remotely
- Modified Deny list to include specific terms
- Test results not reported in Content Aware reports
- Tried different browser for file uploads: still undetected
- Edited policy and custom dictionary, checked inclusion, set to detect whole words
- Tested again, still undetected
- Changed deny list dictionary 
- Updated client policies
- Policy doesn't report in Edge/Chrome after update
- Saved content of Word document and retested
- Still no reports generated
- Renamed deny list to ""dictionary"" and saved
- Updated agent, resumed Chrome/Edge testing, still no reports
- Recognized file types, emails, predefined content, but not dictionary
- Tried refreshing DLP test between attempts
- Multiple attempts may not register due to cache
- Reports still not generated
- Tested in incognito mode
- No reports after attempts
- Enabled Debug mode to log issue reproduction
- Upload test with Word/text files to DLP.test site while logs were collected
- Tests tried on different browsers with same content
- Logs collected from server
- Requested customer to upload logs to case
- Customer waiting 15-20 minutes for EPP logs for upload
* Plan to reconvene Friday at 9:30 AM Honduras time (10:20 CST) 3/28/2025
- Ended remote session


3/20/2025

- Sent initial email requesting the available times customer has to schedule a remote session to look over policy experiencing issues","","","","005Qk000002lX5pIAE","2025-03-26T21:50:18.000Z"
"0D5Qk00000aUhMEKA0","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-03-28T14:59:54.000Z","What We've Learned Updated: 3/28/25

- Sent a follow up email to customer requesting logs be uploaded to the case
3/24/2025

- Meeting scheduled for 10 Am CST
- Joined remote session
- Customer reproduced issue: document uploads don't produce reports for text/Word files with specific words contained in denylist.
- Edited content-aware policy
- Conducted test after modifying settings
- Policy verified on the computer
- Removed PDF from policy and conducted new tests
- Customer created new Word document with example data (email address)
- Email detected remotely
- Modified Deny list to include specific terms
- Test results not reported in Content Aware reports
- Tried different browser for file uploads: still undetected
- Edited policy and custom dictionary, checked inclusion, set to detect whole words
- Tested again, still undetected
- Changed deny list dictionary 
- Updated client policies
- Policy doesn't report in Edge/Chrome after update
- Saved content of Word document and retested
- Still no reports generated
- Renamed deny list to ""dictionary"" and saved
- Updated agent, resumed Chrome/Edge testing, still no reports
- Recognized file types, emails, predefined content, but not dictionary
- Tried refreshing DLP test between attempts
- Multiple attempts may not register due to cache
- Reports still not generated
- Tested in incognito mode
- No reports after attempts
- Enabled Debug mode to log issue reproduction
- Upload test with Word/text files to DLP.test site while logs were collected
- Tests tried on different browsers with same content
- Logs collected from server
- Requested customer to upload logs to case
- Customer waiting 15-20 minutes for EPP logs for upload
* Plan to reconvene Friday at 9:30 AM Honduras time (10:20 CST) 3/28/2025
- Ended remote session


3/20/2025

- Sent initial email requesting the available times customer has to schedule a remote session to look over policy experiencing issues","","","","005Qk000002lX5pIAE","2025-03-28T14:59:54.000Z"
"0D5Qk00000aoen1KAA","500Qk00000N9AUTIA3","TextPost","005Qk000002lX5pIAE","2025-04-01T16:19:55.000Z","What We've Learned Updated: 4/1/2025

- Sent follow up email to customer
- Still waiting on logs to be uploaded to the case to submit an ADO regarding issue
- Customer has not responded back with available days or times to schedule a remote session

- Sent a follow up email to customer requesting logs be uploaded to the case
3/24/2025

- Meeting scheduled for 10 Am CST
- Joined remote session
- Customer reproduced issue: document uploads don't produce reports for text/Word files with specific words contained in denylist.
- Edited content-aware policy
- Conducted test after modifying settings
- Policy verified on the computer
- Removed PDF from policy and conducted new tests
- Customer created new Word document with example data (email address)
- Email detected remotely
- Modified Deny list to include specific terms
- Test results not reported in Content Aware reports
- Tried different browser for file uploads: still undetected
- Edited policy and custom dictionary, checked inclusion, set to detect whole words
- Tested again, still undetected
- Changed deny list dictionary 
- Updated client policies
- Policy doesn't report in Edge/Chrome after update
- Saved content of Word document and retested
- Still no reports generated
- Renamed deny list to ""dictionary"" and saved
- Updated agent, resumed Chrome/Edge testing, still no reports
- Recognized file types, emails, predefined content, but not dictionary
- Tried refreshing DLP test between attempts
- Multiple attempts may not register due to cache
- Reports still not generated
- Tested in incognito mode
- No reports after attempts
- Enabled Debug mode to log issue reproduction
- Upload test with Word/text files to DLP.test site while logs were collected
- Tests tried on different browsers with same content
- Logs collected from server
- Requested customer to upload logs to case
- Customer waiting 15-20 minutes for EPP logs for upload
* Plan to reconvene Friday at 9:30 AM Honduras time (10:20 CST) 3/28/2025
- Ended remote session


3/20/2025

- Sent initial email requesting the available times customer has to schedule a remote session to look over policy experiencing issues","","","","005Qk000002lX5pIAE","2025-04-01T16:19:55.000Z"
