"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Q1JlVKAV","500Qk00000HqcH7IAJ","TextPost","0054u000008ARZjAAO","2024-11-04T08:28:39.000Z","Description: Hi, 

When I try to export the report from Device control>computers, unable to find any reports available to download under system maintenance>exported entities","","","","0054u000008ARZjAAO","2024-11-04T08:28:39.000Z"
"0D5Qk00000QIiONKA1","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViBIAU","2024-11-07T15:58:12.000Z","What We've Learned Updated: engineering mentioned that this is fixed in 5.9.4.0","","","","005Qk000001nViBIAU","2024-11-07T15:58:12.000Z"
"0D5Qk00000QJ73iKAD","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViBIAU","2024-11-07T15:58:29.000Z","Next Steps Updated: waiting until the server is upgraded and we will continue from there","","","","005Qk000001nViBIAU","2024-11-07T15:58:29.000Z"
"0D5Qk00000Qs8YcKAJ","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViBIAU","2024-11-14T15:28:40.000Z","Next Steps Updated: the customer was unable to test after the upgrade, but will do so as soon as possible","","","","005Qk000001nViBIAU","2024-11-14T15:28:40.000Z"
"0D5Qk00000RhcVcKAJ","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2024-11-25T12:23:44.000Z","<p>We are going to work on this issue as soon as we clarify why the Content Aware Reports are not being shown on 2 of the customer&#39;s servers</p>","","","","005Qk000001nViHIAU","2024-11-25T12:23:44.000Z"
"0D5Qk00000SMVQpKAP","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2024-12-05T18:53:48.000Z","<p>Waiting for R&amp;D to confirm when we have a fix for this issue.</p><p> </p>","","","","005Qk000001nViHIAU","2024-12-05T18:53:48.000Z"
"0D5Qk00000TZ2BGKA1","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2024-12-23T12:46:05.000Z","<p>We will work on this issue after the holidays because they are in a code freeze period</p>","","","","005Qk000001nViHIAU","2024-12-23T12:46:05.000Z"
"0D5Qk00000UjuBIKAZ","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-01-13T14:06:43.000Z","Next Steps Updated: The issue is still present and we will have a meeting with Flaviu in order to work on this next week","","","","005Qk000001nViHIAU","2025-01-13T14:06:43.000Z"
"0D5Qk00000Us8NVKAZ","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-01-15T11:31:45.000Z","Next Steps Updated: The issue is still present and we will have a meeting with Flaviu in order to work on this Tuesday next week","","","","005Qk000001nViHIAU","2025-01-15T11:31:45.000Z"
"0D5Qk00000W0ClBKAV","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-02-03T12:33:25.000Z","Next Steps Updated: The customers can not update the server to 5941 yet. And they asked to manually apply the fix in 5940","","","","005Qk000001nViHIAU","2025-02-03T12:33:25.000Z"
"0D5Qk00000W0ClAKAV","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-02-03T12:33:25.000Z","What We've Learned Updated: engineering mentioned that this is fixed in 5.9.4.1","","","","005Qk000001nViHIAU","2025-02-03T12:33:25.000Z"
"0D5Qk00000WAGULKA5","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-02-05T15:02:55.000Z","Next Steps Updated: The customers can not update the server to 5941 yet. And they asked to manually apply the fix in 5940

The customer updated the EPP Server to 5941 but the issue persists.
Asked R&D for help to fix this issue.","","","","005Qk000001nViHIAU","2025-02-05T15:02:55.000Z"
"0D5Qk00000XB90WKAT","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-02-17T17:40:06.000Z","Invitation updated. Attendees: Emil Podar","","","","005Qk000001nViHIAU","2025-02-17T17:40:06.000Z"
"0D5Qk00000XB90VKAT","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-02-17T17:40:06.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViHIAU","2025-02-17T17:40:06.000Z"
"0D5Qk00000XB90XKAT","500Qk00000HqcH7IAJ","TextPost","005Qk000001nViHIAU","2025-02-17T17:40:07.000Z","Invitation updated. Attendees: Emil Podar, Arpitha Shetty","","","","005Qk000001nViHIAU","2025-02-17T17:40:07.000Z"
