"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000ZlrpeKAB","500Qk00000N9H9GIAV","TextPost","0054u000008ARZjAAO","2025-03-20T16:11:02.000Z","Description: We are encountering an issue while generating reports in Endpoint Protector, where the server-end timing and client-end timing are mismatched.","","","","0054u000008ARZjAAO","2025-03-20T16:11:02.000Z"
"0D5Qk00000ZpNHEKA3","500Qk00000N9H9GIAV","TextPost","005Qk000001nViDIAU","2025-03-21T15:27:42.000Z","<p>Contacted the customer through direct email as we kept receiving the following error:</p><p>A message that you sent could not be delivered to one or more of its</p><p>recipients. This is a permanent error. The following address(es) failed:</p><p> </p><p>&gt;&gt;&gt; postmaster@agshealthltd.onmicrosoft.com (Undelivered): 550 5.4.1 Recipient address rejected: Access denied. [TY2PEPF0000AB89.apcprd03.prod.outlook.com 2025-03-20T18:33:49.816Z 08DD67BAEE69E595]</p>","","","","005Qk000001nViDIAU","2025-03-21T15:27:42.000Z"
"0D5Qk00000aGVUsKAO","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-03-25T08:31:08.000Z","Next Steps Updated: call + we tried to contact you via email, we are receving undeliverable message. please check your spam filter bcuz we cannot contact you","","","","005Qk000001nVi2IAE","2025-03-25T08:31:08.000Z"
"0D5Qk00000aGj80KAC","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-03-25T09:53:14.000Z","What We've Learned Updated: called the customer and asked him to whitelist our email address so we can communicate on the ticket","","","","005Qk000001nVi2IAE","2025-03-25T09:53:14.000Z"
"0D5Qk00000aGj81KAC","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-03-25T09:53:14.000Z","Next Steps Updated: waiting on the customer","","","","005Qk000001nVi2IAE","2025-03-25T09:53:14.000Z"
"0D5Qk00000aPjDOKA0","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-03-27T08:24:21.000Z","What We've Learned Updated: called the customer and asked him to whitelist our email address so we can communicate on the ticket

27.03
- called the customer again
- they are still working on whitelisting our email address","","","","005Qk000001nVi2IAE","2025-03-27T08:24:21.000Z"
"0D5Qk00000aQ0J5KAK","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-03-27T12:35:06.000Z","What We've Learned Updated: called the customer and asked him to whitelist our email address so we can communicate on the ticket

27.03
- called the customer again
- they are still working on whitelisting our email address

437349 - server client upgrade","","","","005Qk000001nVi2IAE","2025-03-27T12:35:06.000Z"
"0D5Qk00000ax89uKAA","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-04-03T12:56:11.000Z","What We've Learned Updated: called the customer and asked him to whitelist our email address so we can communicate on the ticket

27.03
- called the customer again
- they are still working on whitelisting our email address

437349 - server client upgrade

03.04
- their server's time is set to EST, they are checking the user's timezone
- asked them to always check the client's time on the logs page
- they complained about the mysql service
- asked them for a remtote session","","","","005Qk000001nVi2IAE","2025-04-03T12:56:11.000Z"
"0D5Qk00000b14YzKAI","500Qk00000N9H9GIAV","TextPost","005Qk000001nVi2IAE","2025-04-04T13:22:19.000Z","What We've Learned Updated: IMPORTANT!!!!
reply only to Palvannan, as a user who is in their shared mailbox is blocked from receiving emails and they don't want to modify that

called the customer and asked him to whitelist our email address so we can communicate on the ticket

27.03
- called the customer again
- they are still working on whitelisting our email address

437349 - server client upgrade

03.04
- their server's time is set to EST, they are checking the user's timezone
- asked them to always check the client's time on the logs page
- they complained about the mysql service
- asked them for a remtote session","","","","005Qk000001nVi2IAE","2025-04-04T13:22:19.000Z"
"0D5Qk00000b1WqaKAE","500Qk00000N9H9GIAV","TextPost","005Qk000001nViFIAU","2025-04-04T15:09:09.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nViFIAU","2025-04-04T15:09:09.000Z"
