"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000TBJNZKA5","500Qk00000JbT1kIAF","TextPost","0054u000008ARZjAAO","2024-12-17T16:23:14.000Z","Description: I imported the VM and set up a manual IP, but I need some help with the initial setup. It did not ask for the initial username and password during the install. So, I am not sure what username and password to use to login to the web interface.","","","","0054u000008ARZjAAO","2024-12-17T16:23:14.000Z"
"0D5Qk00000TCCY4KAP","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-17T17:44:05.000Z","What We've Learned Updated: Customer created a VM with EPP and needed log in credentials to set up the new VM. Sent customer initial log in information and steps to change the root password.","","","","005Qk000002lX5pIAE","2024-12-17T17:44:05.000Z"
"0D5Qk00000TCEcRKAX","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-17T17:44:32.000Z","Next Steps Updated: Awaiting customer response for further assistance if required.","","","","005Qk000002lX5pIAE","2024-12-17T17:44:32.000Z"
"0D5Qk00000TH988KAD","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-18T17:36:53.000Z","What We've Learned Updated: Customer created a VM with EPP and needed log in credentials to set up the new VM. Sent customer initial log in information and steps to change the root password.

- Joined Teams session
- Customer has questions relating to E-Discovery policy set up 
- Customer reports a lot of false positives being generated when the policy is enabled
- It was recommended to the customer to create multiple policies due to multiple documents being scanned having multiple formats
- A Pre-Define Custom Content was created for standard text to search for ""Record of Admission""
- Customer able to create Denylists/Allowlists
- Locations added to exclude certain locations from being scanned for Microsoft Windows applications from Computers
- Looked into why scans were not being scanned from a certain path. Customer created another custom policy to look at the location specified to test. Denylist > Scan Location > location set to C:dlptest
- Denylist added to the policy
- Customer is using a previous EPP version 5.8.1.0
- Walked customer through steps on creating a VM snapshot and where to perform the upgrade. Dashboard > Live Update
- Customer has question on setting the EPP server to static settings.
- System Configuration > System Settings 
- It was recommended to customer to upgrade to latest EPP version and Client version 
- Customer will perform the upgrade and will contact us if they have further issues or questions.","","","","005Qk000002lX5pIAE","2024-12-18T17:36:53.000Z"
"0D5Qk00000THBZsKAP","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-18T17:37:41.000Z","Next Steps Updated: Awaiting customer response from performing upgrade to EPP server and Client software","","","","005Qk000002lX5pIAE","2024-12-18T17:37:41.000Z"
"0D5Qk00000TLE7zKAH","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-19T14:17:06.000Z","Next Steps Updated: Awaiting customer to join Zoom session to look further into the issues being reported during upgrade to 5.9.4.0","","","","005Qk000002lX5pIAE","2024-12-19T14:17:06.000Z"
"0D5Qk00000TLE7yKAH","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-19T14:17:06.000Z","What We've Learned Updated: Customer created a VM with EPP and needed log in credentials to set up the new VM. Sent customer initial log in information and steps to change the root password.

- Joined Teams session
- Customer has questions relating to E-Discovery policy set up 
- Customer reports a lot of false positives being generated when the policy is enabled
- It was recommended to the customer to create multiple policies due to multiple documents being scanned having multiple formats
- A Pre-Define Custom Content was created for standard text to search for ""Record of Admission""
- Customer able to create Denylists/Allowlists
- Locations added to exclude certain locations from being scanned for Microsoft Windows applications from Computers
- Looked into why scans were not being scanned from a certain path. Customer created another custom policy to look at the location specified to test. Denylist > Scan Location > location set to C:dlptest
- Denylist added to the policy
- Customer is using a previous EPP version 5.8.1.0
- Walked customer through steps on creating a VM snapshot and where to perform the upgrade. Dashboard > Live Update
- Customer has question on setting the EPP server to static settings.
- System Configuration > System Settings 
- It was recommended to customer to upgrade to latest EPP version and Client version 
- Customer will perform the upgrade and will contact us if they have further issues or questions.
- Customer has contacted support stating he is stuck on updating EPP to 5.9.3 and reporting issues mapping network shares while on 5.9.3
- Sent customer an invite to join Zoom session to look further into the issue","","","","005Qk000002lX5pIAE","2024-12-19T14:17:06.000Z"
"0D5Qk00000TLL1GKAX","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-19T15:49:02.000Z","What We've Learned Updated: Customer created a VM with EPP and needed log in credentials to set up the new VM. Sent customer initial log in information and steps to change the root password.

- Joined Teams session
- Customer has questions relating to E-Discovery policy set up 
- Customer reports a lot of false positives being generated when the policy is enabled
- It was recommended to the customer to create multiple policies due to multiple documents being scanned having multiple formats
- A Pre-Define Custom Content was created for standard text to search for ""Record of Admission""
- Customer able to create Denylists/Allowlists
- Locations added to exclude certain locations from being scanned for Microsoft Windows applications from Computers
- Looked into why scans were not being scanned from a certain path. Customer created another custom policy to look at the location specified to test. Denylist > Scan Location > location set to C:dlptest
- Denylist added to the policy
- Customer is using a previous EPP version 5.8.1.0
- Walked customer through steps on creating a VM snapshot and where to perform the upgrade. Dashboard > Live Update
- Customer has question on setting the EPP server to static settings.
- System Configuration > System Settings 
- It was recommended to customer to upgrade to latest EPP version and Client version 
- Customer will perform the upgrade and will contact us if they have further issues or questions.
- Customer has contacted support stating he is stuck on updating EPP to 5.9.3 and reporting issues mapping network shares while on 5.9.3
- Sent customer an invite to join Zoom session to look further into the issue

12/19/2024
- Customer joined the Zoom session 
- Customer able to upgrade EPP to 5.9.4.0
- Customer also had a question regarding hotfix update showing up twice 
- Is it possible to install EPP agents on two Windows 2022 servers and scan the locations within them
- How to add users to EPP using Active Directory queston answered
- How to add computers using Smart groups answered
- Customer is planning to install a Network share on the file server the has EPP client installed and perform tests
- Customer will contact support if he has any more questions or issues","","","","005Qk000002lX5pIAE","2024-12-19T15:49:02.000Z"
"0D5Qk00000TLRY7KAP","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-19T15:49:30.000Z","Next Steps Updated: Awaiting customer response","","","","005Qk000002lX5pIAE","2024-12-19T15:49:30.000Z"
"0D5Qk00000TQqR2KAL","500Qk00000JbT1kIAF","TextPost","005Qk000002lX5pIAE","2024-12-20T16:21:40.000Z","What We've Learned Updated: Customer created a VM with EPP and needed log in credentials to set up the new VM. Sent customer initial log in information and steps to change the root password.

- Joined Teams session
- Customer has questions relating to E-Discovery policy set up 
- Customer reports a lot of false positives being generated when the policy is enabled
- It was recommended to the customer to create multiple policies due to multiple documents being scanned having multiple formats
- A Pre-Define Custom Content was created for standard text to search for ""Record of Admission""
- Customer able to create Denylists/Allowlists
- Locations added to exclude certain locations from being scanned for Microsoft Windows applications from Computers
- Looked into why scans were not being scanned from a certain path. Customer created another custom policy to look at the location specified to test. Denylist > Scan Location > location set to C:dlptest
- Denylist added to the policy
- Customer is using a previous EPP version 5.8.1.0
- Walked customer through steps on creating a VM snapshot and where to perform the upgrade. Dashboard > Live Update
- Customer has question on setting the EPP server to static settings.
- System Configuration > System Settings 
- It was recommended to customer to upgrade to latest EPP version and Client version 
- Customer will perform the upgrade and will contact us if they have further issues or questions.
- Customer has contacted support stating he is stuck on updating EPP to 5.9.3 and reporting issues mapping network shares while on 5.9.3
- Sent customer an invite to join Zoom session to look further into the issue

12/19/2024
- Customer joined the Zoom session 
- Customer able to upgrade EPP to 5.9.4.0
- Customer also had a question regarding hotfix update showing up twice 
- Is it possible to install EPP agents on two Windows 2022 servers and scan the locations within them
- How to add users to EPP using Active Directory queston answered
- How to add computers using Smart groups answered
- Customer is planning to install a Network share on the file server the has EPP client installed and perform tests
- Customer will contact support if he has any more questions or issues

12/20/2024

- Customer joined Microsoft Teams Meeting
- Customer questions answered regarding E-Discovery and how to configure policy to show actual date of birth in scans and not DOB:
- Answered remaining auxiliary questions around E-Discovery
- Customer requests to close ticket
- Ended Teams meeting","","","","005Qk000002lX5pIAE","2024-12-20T16:21:40.000Z"
