"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000VDvE8KAL","500Qk00000KtikyIAB","TextPost","0054u000008ARZjAAO","2025-01-21T19:14:19.000Z","Description: Appliance update is failing again this month. Please assist with this issue.

Thank you!","","","","0054u000008ARZjAAO","2025-01-21T19:14:19.000Z"
"0D5Qk00000VEjHyKAL","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-01-21T22:04:55.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000001nVi2IAE","2025-01-21T22:04:55.000Z"
"0D5Qk00000VEjHzKAL","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-01-21T22:04:55.000Z","Invitation updated. Attendees: Botond Biro","","","","005Qk000001nVi2IAE","2025-01-21T22:04:55.000Z"
"0D5Qk00000VEjI0KAL","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-01-21T22:04:55.000Z","Invitation updated. Attendees: Botond Biro, Chaitanya Jariwala","","","","005Qk000001nVi2IAE","2025-01-21T22:04:55.000Z"
"0D5Qk00000VIqI1KAL","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-01-22T16:00:05.000Z","Next Steps Updated: remote session to fix the update","","","","005Qk000001nVi2IAE","2025-01-22T16:00:05.000Z"
"0D5Qk00000VLl0sKAD","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-01-22T22:03:48.000Z","Next Steps Updated: null","","","","005Qk000001nVi2IAE","2025-01-22T22:03:48.000Z"
"0D5Qk00000VLmZKKA1","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-01-22T22:05:39.000Z","What We've Learned Updated: the server version in mysql is the same as on the server
upgrade log was empty
telnet to upgrade.endpointprotector was successful
after removing the erroneous patch, the upgrade was still unsuccessful and the progress bar didn't disappear even after removing the .json file","","","","005Qk000001nVi2IAE","2025-01-22T22:05:39.000Z"
"0D5Qk00000W2jgTKAR","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-02-03T22:22:10.000Z","Next Steps Updated: schedule remote session to delete all updates from the backend to see if that fixes the issue","","","","005Qk000001nVi2IAE","2025-02-03T22:22:10.000Z"
"0D5Qk00000Wt6NmKAJ","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-02-12T17:17:59.000Z","Next Steps Updated: waiting on R&D","","","","005Qk000001nVi2IAE","2025-02-12T17:17:59.000Z"
"0D5Qk00000Wt6NlKAJ","500Qk00000KtikyIAB","TextPost","005Qk000001nVi2IAE","2025-02-12T17:17:59.000Z","What We've Learned Updated: - it's not the first time the customer encountered this issue
- the server version in mysql is the same as on the server
- upgrade log was empty
- telnet to upgrade.endpointprotector was successful
- after removing the erroneous patch, the upgrade was still unsuccessful and the
- progress bar didn't disappear even after removing the .json file
- collected the upgrade logs from the server
- opened R&D escalation to further assist","","","","005Qk000001nVi2IAE","2025-02-12T17:17:59.000Z"
"0D5Qk00000XDORgKAP","500Qk00000KtikyIAB","TextPost","005Qk000001nViHIAU","2025-02-18T11:37:24.000Z","Next Steps Updated: waiting on R&D
a remote session will be scheduled in order to investigate this issue.","","","","005Qk000001nViHIAU","2025-02-18T11:37:24.000Z"
"0D5Qk00000XKBWNKA5","500Qk00000KtikyIAB","TextPost","005Qk000001nViHIAU","2025-02-19T20:51:10.000Z","Invitation updated. Attendees: Emil Podar, Chaitanya Jariwala","","","","005Qk000001nViHIAU","2025-02-19T20:51:10.000Z"
"0D5Qk00000XKBWMKA5","500Qk00000KtikyIAB","TextPost","005Qk000001nViHIAU","2025-02-19T20:51:10.000Z","Invitation updated. Attendees: Emil Podar","","","","005Qk000001nViHIAU","2025-02-19T20:51:10.000Z"
"0D5Qk00000XOYhVKAX","500Qk00000KtikyIAB","TextPost","005Qk000001nViBIAU","2025-02-20T20:54:07.000Z","What We've Learned Updated: - it's not the first time the customer encountered this issue
- the server version in mysql is the same as on the server
- upgrade log was empty
- telnet to upgrade.endpointprotector was successful
- after removing the erroneous patch, the upgrade was still unsuccessful and the
- progress bar didn't disappear even after removing the .json file
- collected the upgrade logs from the server
- opened R&D escalation to further assist

server was upgraded to 5941 using the offline patch.
the customer is also considering migrating to a new instance","","","","005Qk000001nViBIAU","2025-02-20T20:54:07.000Z"
"0D5Qk00000XOSHEKA5","500Qk00000KtikyIAB","TextPost","005Qk000001nViBIAU","2025-02-20T20:54:16.000Z","Next Steps Updated: closing the ticket","","","","005Qk000001nViBIAU","2025-02-20T20:54:16.000Z"
