"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000YzuHDKAZ","500Qk00000Mo9JbIAJ","TextPost","0054u000008ARZjAAO","2025-03-11T16:38:49.000Z","Description: Not seeing anything results in AIC for stats & activity","","","","0054u000008ARZjAAO","2025-03-11T16:38:49.000Z"
"0D5Qk00000YztXeKAJ","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-11T16:50:04.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000008Ak5xAAC","2025-03-11T16:50:04.000Z"
"0D5Qk00000YztXfKAJ","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-11T16:50:04.000Z","Invitation updated. Attendees: Mario Nalado","","","","0054u000008Ak5xAAC","2025-03-11T16:50:04.000Z"
"0D5Qk00000YztXgKAJ","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-11T16:50:04.000Z","Invitation updated. Attendees: Mario Nalado, Troy Herrington","","","","0054u000008Ak5xAAC","2025-03-11T16:50:04.000Z"
"0D5Qk00000Z0atpKAB","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-11T16:50:37.000Z","<p>sent initial email and meeting availability</p>","","","","0054u000008Ak5xAAC","2025-03-11T16:50:37.000Z"
"0D5Qk00000ZD3XBKA1","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-14T17:09:30.000Z","<p>Case is for Enterprise Auditor</p><p>transferring to team lead queue</p>","","","","0054u000008Ak5xAAC","2025-03-14T17:09:30.000Z"
"0D5Qk00000ZCRu3KAH","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-14T17:15:29.000Z","<p>Meeting with Troy</p><ul><li>we looked into the event logs and changes that are written on the activities for file server<ul><li>it looks like everything is working and could be that it was not working before but was fixed by itself</li></ul></li></ul><p> </p><p>It looked like a false alarm and his team was just accessing the reports wrong, but for the sake of checking everything out. I&#39;ll push this case to Enterprise Auditor as agreed with the customer</p>","","","","0054u000008Ak5xAAC","2025-03-14T17:15:29.000Z"
"0D5Qk00000ZCw6CKAT","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-14T17:16:01.000Z","Steps to Reproduce Updated: Looks like Stats and Activities are not showing for file shares on their AIC","","","","0054u000008Ak5xAAC","2025-03-14T17:16:01.000Z"
"0D5Qk00000ZCU5RKAX","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-14T17:17:01.000Z","What We've Learned Updated: 1. case is for enterprise auditor but customer selected auditor on the case
2. AIC doesn't show stats and activities as reported by the customer
3. upon checking looks like everything was a false alarm and the reports were wrongly used by his team","","","","0054u000008Ak5xAAC","2025-03-14T17:17:01.000Z"
"0D5Qk00000ZD3gtKAD","500Qk00000Mo9JbIAJ","TextPost","0054u000008Ak5xAAC","2025-03-14T17:17:10.000Z","Next Steps Updated: sending case to enterprise auditor","","","","0054u000008Ak5xAAC","2025-03-14T17:17:10.000Z"
