"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Vef0NKAR","500Qk00000LAT9ZIAX","TextPost","0054u000008ARZjAAO","2025-01-28T15:47:13.000Z","Description: I am not seeing information that I would expect to see within the access information center.","","","","0054u000008ARZjAAO","2025-01-28T15:47:13.000Z"
"0D5Qk00000VkzrlKAB","500Qk00000LAT9ZIAX","TextPost","0054u000007MihQAAS","2025-01-29T21:39:13.000Z","<p>The ticket was meant for the Enterprise Auditor team, not NA. Reassigning to T1 queue.</p>","","","","0054u000007MihQAAS","2025-01-29T21:39:13.000Z"
"0D5Qk00000W7WLuKAN","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-04T21:26:23.000Z","Steps to Reproduce Updated: Setup a smart log connector
Collect system event logs from the collector
Setup the collector to run in applet mode
Run query targeting the local host","","","","005Qk000002AJWTIA4","2025-02-04T21:26:23.000Z"
"0D5Qk00000W7VMqKAN","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-04T21:26:37.000Z","Steps to Reproduce Updated: null","","","","005Qk000002AJWTIA4","2025-02-04T21:26:37.000Z"
"0D5Qk00000WHgEOKA1","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-06T23:28:42.000Z","Invitation updated. Attendees: Ian Ranstrom","","","","005Qk000002AJWTIA4","2025-02-06T23:28:42.000Z"
"0D5Qk00000WHgENKA1","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-06T23:28:42.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000002AJWTIA4","2025-02-06T23:28:42.000Z"
"0D5Qk00000WHgEPKA1","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-06T23:28:42.000Z","Invitation updated. Attendees: Ian Ranstrom, Michael Lindahl","","","","005Qk000002AJWTIA4","2025-02-06T23:28:42.000Z"
"0D5Qk00000Wtc4eKAB","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-12T18:56:30.000Z","Description Updated: Activity information is displaying for only one nasuni device.","","","","005Qk000002AJWTIA4","2025-02-12T18:56:30.000Z"
"0D5Qk00000Wtc4fKAB","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-12T18:56:30.000Z","Steps to Reproduce Updated: Check activity for nasuni heavy in the AIC.
No activity is reported.","","","","005Qk000002AJWTIA4","2025-02-12T18:56:30.000Z"
"0D5Qk00000WtwpLKAR","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-12T18:57:58.000Z","What We've Learned Updated: Access information center is not displaying activity information for one of the two nasuni serves.
Upon inspection we found that Activity monitor does see the activity for the Nasuni devices, but enterprise auditor was not setup to collect from both nasuni devices.
We corrected the host list for the FSAC jobs and started them again.","","","","005Qk000002AJWTIA4","2025-02-12T18:57:58.000Z"
"0D5Qk00000Wtyb5KAB","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-12T18:58:31.000Z","Next Steps Updated: Waiting for FSAC jobs to complete and verify that AIC displays activity information.","","","","005Qk000002AJWTIA4","2025-02-12T18:58:31.000Z"
"0D5Qk00000XKm9VKAT","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-19T23:26:53.000Z","Invitation updated. Attendees: Ian Ranstrom, Tay Caliguiri","","","","005Qk000002AJWTIA4","2025-02-19T23:26:53.000Z"
"0D5Qk00000XKm9WKAT","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-19T23:26:54.000Z","Invitation updated. Attendees: Ian Ranstrom, Tay Caliguiri, Michael Lindahl","","","","005Qk000002AJWTIA4","2025-02-19T23:26:54.000Z"
"0D5Qk00000Xi6SIKAZ","500Qk00000LAT9ZIAX","TextPost","005Qk000002AJWTIA4","2025-02-25T14:36:21.000Z","What We've Learned Updated: Access information center is not displaying activity information for one of the two nasuni serves.
Upon inspection we found that Activity monitor does see the activity for the Nasuni devices, but enterprise auditor was not setup to collect from both nasuni devices.
We corrected the host list for the FSAC jobs and started them again.


--------
02/19/2025
-------
Nasuni is displaying the info in the database in a strange way. I can see entries in the database for the HVY server, but in the AIC the shares are not visible. Hoping FSAC scan will correct this to some degree as there is no activity shown on this Nasuni either. This may be an oddity of how Nasuni works as the storage is shared across them.","","","","005Qk000002AJWTIA4","2025-02-25T14:36:21.000Z"
"0D5Qk00000XzA18KAF","500Qk00000LAT9ZIAX","TextPost","0054u000007MiY9AAK","2025-02-28T17:24:31.000Z","Next Steps Updated: Customer must adjust permissions for the account scanning the Nasuni filers. We are currently seeing Access Denied errors for several of the Filers in FSAA System Scan. We also need rights to at least read permissions in order for the effective access report to populate.","","","","0054u000007MiY9AAK","2025-02-28T17:24:31.000Z"
"0D5Qk00000XzA17KAF","500Qk00000LAT9ZIAX","TextPost","0054u000007MiY9AAK","2025-02-28T17:24:31.000Z","What We've Learned Updated: - Removed the host mapping feature from the FSAC System Scan- this appears to resolve the issue of NEA querying every host against every agent
--- Once we did this, we had a successful scan- minus the one host who does not have an agent configured for monitoring yet
--- We also see the activity data correlating to the correct hosts in the AIC

- Removed the analysis tasks from various weekly reports as the table is already being created when the job runs, these jobs are just used to create a filtered report from the already collected data. This should increase their speed.

-Removed the Group Usage group from File System Activity and moved it to the AD Activity group where it belongs

-Found AIC Effective Access Report was still not displaying for deeper than the first couple of folder levels, but this looks to be caused by the fact we don’t have rights to read permissions on the deeper levels.

-Removed a second DC from the ADI scan that was within the same domain already being scanned.","","","","0054u000007MiY9AAK","2025-02-28T17:24:31.000Z"
