"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000VBhj2KAD","500Qk00000Ks5glIAB","TextPost","0054u000008ARZjAAO","2025-01-21T05:20:34.000Z","Description: Customer using Nutanix as a file share, we have configured Enterprise Auditor for Nutanix but getting error for FSAA job","","","","0054u000008ARZjAAO","2025-01-21T05:20:34.000Z"
"0D5Qk00000VBGUUKA5","500Qk00000Ks5glIAB","TextPost","005Qk00000214EvIAI","2025-01-21T08:35:18.000Z","What We've Learned Updated: Customer is in EMEA. Saudi Investment Bank. Preferred time zone to work is +3 UTC","","","","005Qk00000214EvIAI","2025-01-21T08:35:18.000Z"
"0D5Qk00000VFwA9KAL","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-22T07:54:12.000Z","Invitation updated. Attendees: Artem Naskal","","","","005Qk000002b4gDIAQ","2025-01-22T07:54:12.000Z"
"0D5Qk00000VFwA8KAL","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-22T07:54:12.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000002b4gDIAQ","2025-01-22T07:54:12.000Z"
"0D5Qk00000VFwAAKA1","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-22T07:54:12.000Z","Invitation updated. Attendees: Artem Naskal, Pramod Sawant","","","","005Qk000002b4gDIAQ","2025-01-22T07:54:12.000Z"
"0D5Qk00000Va5VcKAJ","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-27T10:11:17.000Z","Steps to Reproduce Updated: Have 11.6.0.117 NEA installed. 
Have Nutanix with multiple domain-joined File Servers.
Configure FSAA scan for Nutanix Filer. 
Add only one Nutanix File server to the list of target hosts.
Provide ""Backup Admin: Backup access only"" role (Nutanix Built-in role) to the Domain Account specified in connection profile. 

FSAA scan is failing with Access Denied for several File Shares.","","","","005Qk000002b4gDIAQ","2025-01-27T10:11:17.000Z"
"0D5Qk00000Va3iJKAR","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-27T10:12:08.000Z","What We've Learned Updated: Customer is in EMEA. Saudi Investment Bank. Preferred time zone to work is +3 UTC

On a remote session we checked NEA and nutanix configuration for FSAA scan. 
both NEA and Nutanix are configured in accordance with our user guide. 
As such, collected logs from Netwrix Enterprise Auditor for further investigation.","","","","005Qk000002b4gDIAQ","2025-01-27T10:12:08.000Z"
"0D5Qk00000VZqS3KAL","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-27T10:12:46.000Z","Next Steps Updated: As per communication with Chris Brooks I will provide feedback about SAIB to Chris. 
Waiting for an update from PM and waiting for customer to upload latest logs.","","","","005Qk000002b4gDIAQ","2025-01-27T10:12:46.000Z"
"0D5Qk00000VeAWnKAN","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-01-28T12:47:57.000Z","Next Steps Updated: As per communication with Chris Brooks I will provide feedback about SAIB to Chris. 
Waiting for customer to upload latest logs.","","","","005Qk000002b4gDIAQ","2025-01-28T12:47:57.000Z"
"0D5Qk00000VzwVyKAJ","500Qk00000Ks5glIAB","TextPost","005Qk000002b4gDIAQ","2025-02-03T10:12:50.000Z","Next Steps Updated: Waiting for a reply from end customer. 
Asked to do this test:
1. Connect to Netwrix Enterprise Auditor server. 

2. On this server open File Explorer. 

3. Enter UNC path that leads to Nutanix share in question so it would look similar to this:
\ipaddressshare
Enter credentials that are used in the account from the Enterprise Auditor connection profile (the service account with ""Backup Admin: Backup Access"" role assigned to it in Nutanix).

4. Please, let me know if you are able to open the share in question using same credentials via File Explorer on the Enterprise Auditor server.

And provide answers to these questions:
1. Do you have ""Filesystem Allowlist"" configured in Nutanix?

2. Does this list include the Netwrix Enterprise Auditor server?","","","","005Qk000002b4gDIAQ","2025-02-03T10:12:50.000Z"
