"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Za6sVKAR","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-17T16:07:55.000Z","Description: Running a POC where all the NEA POC Collection jobs are coming back with the same error
17/03/2025 15:36:12	ERROR	ADP	TManagedDCExtractItf.PrepareForTask	""Unable to cast object of type 'System.String' to type 'System.Byte[]'""	LEWDC001	DCExtract	8904	8812	6244

In the same POC I am able run FS, SP and File Systems jobs no problem. All reports are available with expectation we can’t login to the Published reports directory which we have another support case open for. 
The MSSQL Database is US Version with a MSSQL Latin version on the collation and it looks fine. If it was Collation problem I would have seen that within the AD Inventory, FS and Sharepoint Online scans. 
The AIC is working as expected but the NEA AD {Permission analyser jobs are throwing the same issue as displayed above.","","","","0054u000006R8D6AAK","2025-03-17T16:07:55.000Z"
"0D5Qk00000Za9yPKAR","500Qk00000N1FsfIAF","TextPost","0054u000007MdqrAAC","2025-03-17T16:11:52.000Z","What We've Learned Updated: Invalid time zone. Moving to Tech Support Queue.","","","","0054u000007MdqrAAC","2025-03-17T16:11:52.000Z"
"0D5Qk00000Za5rhKAB","500Qk00000N1FsfIAF","TextPost","0054u000007MdqrAAC","2025-03-17T16:14:21.000Z","What We've Learned Updated: Invalid time zone. Sent initial email requesting logs and moving to T1 queue","","","","0054u000007MdqrAAC","2025-03-17T16:14:21.000Z"
"0D5Qk00000Za9h0KAB","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-17T16:36:28.000Z","Description Updated: Running a POC where all the NEA AD Permission Analyzer Collection Jobs report the same error 
17/03/2025 15:36:12	ERROR	ADP	TManagedDCExtractItf.PrepareForTask	""Unable to cast object of type 'System.String' to type 'System.Byte[]'""	LEWDC001	DCExtract	8904	8812	6244
In the same POC I am able run FS, SP and File Systems jobs no problem. All reports are available with expectation we can’t login to the Published reports directory which we have another support case open for. 
The MSSQL Database is US Version with a MSSQL Latin version on the collation and it looks fine. 
If it was Collation problem, I would have seen that within the AD Inventory, FS and Sharepoint Online scans. 
The AIC is working as expected but the NEA AD {Permission analyser jobs are throwing the same issue as displayed above.","","","","0054u000006R8D6AAK","2025-03-17T16:36:28.000Z"
"0D5Qk00000ZZzpvKAD","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-17T16:39:52.000Z","<p>I am still unable to upload the Collection logs on the SharePoint Web Site, PLease help</p>","","","","0054u000006R8D6AAK","2025-03-17T16:39:52.000Z"
"0D5Qk00000ZcRi0KAF","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-18T08:24:40.000Z","<p>Name                                         Version   InstallDate</p><p>----                                         -------   -----------</p><p>Netwrix Access Information Center            11.6.0.37 20250312  </p><p>Netwrix Activity Monitor                     8.0.126   20250312  </p><p>Netwrix Activity Monitor Agent 64-bit        8.0.126   20250313  </p><p>Netwrix Enterprise Auditor V11.6             11.6.0.137 20250314  </p><p>Netwrix Sensitive Data Discovery Add-On V11.6 11.6.0.18 20250312  </p><p> </p><p> </p><p>C:Program Files (x86)STEALTHbitsStealthAUDIT</p><p>C:Program FilesSTEALTHbitsAccess Information CenterAccessInformationCenter.Service.exe</p><p>***** Checking Service StartMode, StartName *****</p><p> </p><p>Status StartMode DisplayName                             StartTime          Log-on-AS </p><p>------ --------- -----------                             ---------          --------- </p><p>Running Auto     Netwrix Access Information Center       2025/03/12 17:03:22 LocalSystem</p><p>Stopped Manual   Netwrix Logging Service                                     LocalSystem</p><p>Stopped Manual   Netwrix Windows File Monitoring Service                     LocalSystem</p><p>Stopped Auto     Netwrix DNS Service                                         LocalSystem</p><p>Running Auto     Netwrix Activity Monitor Agent Service  2025/03/13 14:59:43 LocalSystem</p><p>Stopped Manual   Netwrix Enterprise Auditor Vault Service                    LocalSystem</p><p>Stopped Manual   Netwrix Enterprise Auditor Survey Server                    LocalSystem</p><p>Running Auto     Netwrix Enterprise Auditor Web Server   2025/03/14 11:59:22 LocalSystem</p><p> </p>","","","","0054u000006R8D6AAK","2025-03-18T08:24:40.000Z"
"0D5Qk00000ZcUZkKAN","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-18T08:25:04.000Z","<p>Hi Team,</p><p> </p><p>Please see comments below in RED</p><p> </p><p>What steps to troubleshoot the issue have already been taken? <b>Repaired the application</b> </p><p> </p><p> Is this a new configuration, data collection or report? <b>This is a new deployment part of a POC</b></p><p> If no, has anything changed in your environment since the last time it worked? </p><p> </p><p> When did this issue start?  <b>From the start of the POC which was 11th March 2025</b></p><p> </p>","","","","0054u000006R8D6AAK","2025-03-18T08:25:04.000Z"
"0D5Qk00000ZbtHsKAJ","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-18T08:26:17.000Z","<p>Please NOTE MSSQL is running on a separate server. I have also uploaded the Log Files from the AD Permissions Analyzer Collection scan jobs in debug mode. </p>","","","","0054u000006R8D6AAK","2025-03-18T08:26:17.000Z"
"0D5Qk00000ZceGPKAZ","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-18T08:35:54.000Z","<p>Note i have also uploaded more Log Files and Exports of the jobs to the SharePoint Site</p><p> </p>","","","","0054u000006R8D6AAK","2025-03-18T08:35:54.000Z"
"0D5Qk00000Zgg1wKAB","500Qk00000N1FsfIAF","TextPost","0054u000006R8D6AAK","2025-03-19T12:06:44.000Z","<p>Any Updates on this please ? i have sessions with Executive Management next week to close the POC down and i need this working !!!</p>","","","","0054u000006R8D6AAK","2025-03-19T12:06:44.000Z"
