"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000UyekfKAB","500Qk00000KjO13IAF","TextPost","0054u000008ARZjAAO","2025-01-16T19:50:14.000Z","Description: We're trying to create a job that deletes files and need help with the delete action part of it. I would like to get a meeting setup for some assistance on this.","","","","0054u000008ARZjAAO","2025-01-16T19:50:14.000Z"
"0D5Qk00000UyYbJKAV","500Qk00000KjO13IAF","TextPost","005Qk00000276ifIAA","2025-01-16T20:14:30.000Z","Invitation updated. Attendees: Mike Candon, Tay Caliguiri, Gregory Meyer","","","","005Qk00000276ifIAA","2025-01-16T20:14:30.000Z"
"0D5Qk00000UyYbIKAV","500Qk00000KjO13IAF","TextPost","005Qk00000276ifIAA","2025-01-16T20:14:30.000Z","Invitation updated. Attendees: Mike Candon, Tay Caliguiri","","","","005Qk00000276ifIAA","2025-01-16T20:14:30.000Z"
"0D5Qk00000UyYbHKAV","500Qk00000KjO13IAF","TextPost","005Qk00000276ifIAA","2025-01-16T20:14:30.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk00000276ifIAA","2025-01-16T20:14:30.000Z"
"0D5Qk00000V3n7IKAR","500Qk00000KjO13IAF","TextPost","005Qk00000276ifIAA","2025-01-17T21:56:26.000Z","Invitation updated. Attendees: Mike Candon, Nicholas Zimmer","","","","005Qk00000276ifIAA","2025-01-17T21:56:26.000Z"
"0D5Qk00000V3n7JKAR","500Qk00000KjO13IAF","TextPost","005Qk00000276ifIAA","2025-01-17T21:56:26.000Z","Invitation updated. Attendees: Mike Candon, Nicholas Zimmer, Gregory Meyer","","","","005Qk00000276ifIAA","2025-01-17T21:56:26.000Z"
"0D5Qk00000VErAmKAL","500Qk00000KjO13IAF","TextPost","0054u000006gpoAAAQ","2025-01-21T22:54:38.000Z","What We've Learned Updated: Fixed RowKey and Row guid columns.
Now job runs completely without errors however no delete occurrs.
Grabbing some action logs. Going to try to replicate 1-22","","","","0054u000006gpoAAAQ","2025-01-21T22:54:38.000Z"
"0D5Qk00000VUhUDKA1","500Qk00000KjO13IAF","TextPost","0054u000006gpoAAAQ","2025-01-24T23:19:53.000Z","Invitation updated. Attendees: Nicholas Zimmer, Mike Candon","","","","0054u000006gpoAAAQ","2025-01-24T23:19:53.000Z"
"0D5Qk00000VUhUEKA1","500Qk00000KjO13IAF","TextPost","0054u000006gpoAAAQ","2025-01-24T23:19:54.000Z","Invitation updated. Attendees: Nicholas Zimmer, Mike Candon, Gregory Meyer","","","","0054u000006gpoAAAQ","2025-01-24T23:19:54.000Z"
"0D5Qk00000VcSzVKAV","500Qk00000KjO13IAF","TextPost","005Qk00000276ifIAA","2025-01-27T22:46:07.000Z","Invitation updated. Attendees: Mike Candon, Nicholas Zimmer, Gregory Meyer, Eric Cabrera","","","","005Qk00000276ifIAA","2025-01-27T22:46:07.000Z"
"0D5Qk00000VcRfNKAV","500Qk00000KjO13IAF","TextPost","0054u000006gpoAAAQ","2025-01-27T23:04:10.000Z","Invitation updated. Attendees: Nicholas Zimmer, Gregory Meyer","","","","0054u000006gpoAAAQ","2025-01-27T23:04:10.000Z"
"0D5Qk00000VcRfMKAV","500Qk00000KjO13IAF","TextPost","0054u000006gpoAAAQ","2025-01-27T23:04:10.000Z","Invitation updated. Attendees: Nicholas Zimmer","","","","0054u000006gpoAAAQ","2025-01-27T23:04:10.000Z"
