"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000WzyT4KAJ","500Qk00000LsSzKIAV","TextPost","0054u000008ARZjAAO","2025-02-14T04:19:09.000Z","Description: Migrate From StealthAUDIT to Netwrix Enterprise Auditor

Hello Team,

We currently have Netwrix Auditor and would like to stand up a new Server with the current Netwrix Auditor we have plus Sharepoint auditing.

Is there any chance someone can arrange a meeting with me and I can show you what we have on our current Netwrix environment and I can go ahead and stand up new servers and so forth.

Thank you","","","","0054u000008ARZjAAO","2025-02-14T04:19:09.000Z"
"0D5Qk00000XCUaRKAX","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-18T01:23:00.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk00000214EvIAI","2025-02-18T01:23:00.000Z"
"0D5Qk00000XCUaSKAX","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-18T01:23:01.000Z","Invitation updated. Attendees: Saqib Sharif","","","","005Qk00000214EvIAI","2025-02-18T01:23:01.000Z"
"0D5Qk00000XCUaTKAX","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-18T01:23:01.000Z","Invitation updated. Attendees: Saqib Sharif, Daniel West","","","","005Qk00000214EvIAI","2025-02-18T01:23:01.000Z"
"0D5Qk00000XHg9kKAD","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-19T08:47:12.000Z","What We've Learned Updated: The customer wants to migrate from Netwrix Auditor to Netwrix Enterprise Auditor. They want to do the configurations themselves but they dont want to engage Professional Support team.","","","","005Qk00000214EvIAI","2025-02-19T08:47:12.000Z"
"0D5Qk00000XHg9lKAD","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-19T08:47:12.000Z","Next Steps Updated: Documentation link has been shared. They will setup the server and let us know if they require any help. If the customer doesn't get back to us, I will follow up with them by Friday 21st Feb, 2025","","","","005Qk00000214EvIAI","2025-02-19T08:47:12.000Z"
"0D5Qk00000XMApzKAH","500Qk00000LsSzKIAV","TextPost","0054u000006goPuAAI","2025-02-20T09:08:36.000Z","Description Updated: Migrate From Netwrix Auditor to Netwrix Enterprise Auditor

Hello Team,

We currently have Netwrix Auditor and would like to stand up a new Server with the current Netwrix Auditor we have plus Sharepoint auditing.

Is there any chance someone can arrange a meeting with me and I can show you what we have on our current Netwrix environment and I can go ahead and stand up new servers and so forth.

Thank you","","","","0054u000006goPuAAI","2025-02-20T09:08:36.000Z"
"0D5Qk00000XYRfiKAH","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-24T00:43:13.000Z","Steps to Reproduce Updated: N/A","","","","005Qk00000214EvIAI","2025-02-24T00:43:13.000Z"
"0D5Qk00000XYZ70KAH","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-24T00:43:42.000Z","<p>I will check internally with Alex Buchta if he has received any communication from the customer side.</p>","","","","005Qk00000214EvIAI","2025-02-24T00:43:42.000Z"
"0D5Qk00000XlT26KAF","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-02-26T07:31:26.000Z","<p>I am following up with Alex on this case.</p>","","","","005Qk00000214EvIAI","2025-02-26T07:31:26.000Z"
"0D5Qk00000Y8XryKAF","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-03-04T06:16:41.000Z","<p>There are two license files associated with NEA for this customer. I have sent email to @Marti Watt​  so he can confirm and share the license file with the customer.</p>","","","","005Qk00000214EvIAI","2025-03-04T06:16:41.000Z"
"0D5Qk00000ZbG8bKAF","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-03-18T00:27:29.000Z","What We've Learned Updated: The customer wants to migrate from Netwrix Auditor to Netwrix Enterprise Auditor. They want to do the configurations themselves but they dont want to engage Professional Support team.

Alex Buchta engaged the account manager and Professional Services team to move ahead with the installation phase.","","","","005Qk00000214EvIAI","2025-03-18T00:27:29.000Z"
"0D5Qk00000ZbG8cKAF","500Qk00000LsSzKIAV","TextPost","005Qk00000214EvIAI","2025-03-18T00:27:29.000Z","Next Steps Updated: Closing ticket as customer has been reached out to by Account Manager to connect them with PSO team.","","","","005Qk00000214EvIAI","2025-03-18T00:27:29.000Z"
