"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000XPnaXKAT","500Qk00000M8ll3IAB","TextPost","0054u000008ARZjAAO","2025-02-21T02:37:00.000Z","Description: Hi Netwrix team,
Kindly upgrade to latest version as its still in 2021 version. TQ","","","","0054u000008ARZjAAO","2025-02-21T02:37:00.000Z"
"0D5Qk00000XvmBgKAJ","500Qk00000M8ll3IAB","TextPost","005Qk00000214EvIAI","2025-02-28T01:57:45.000Z","What We've Learned Updated: The customer wants to upgrade the product. The customer has change freeze till 2nd march as per ticket 00436547.","","","","005Qk00000214EvIAI","2025-02-28T01:57:45.000Z"
"0D5Qk00000XvmBhKAJ","500Qk00000M8ll3IAB","TextPost","005Qk00000214EvIAI","2025-02-28T01:57:45.000Z","Next Steps Updated: I will send a follow up email on 3rd march.","","","","005Qk00000214EvIAI","2025-02-28T01:57:45.000Z"
"0D5Qk00000XxAYDKA3","500Qk00000M8ll3IAB","TextPost","005Qk00000214EvIAI","2025-02-28T08:34:43.000Z","Steps to Reproduce Updated: N/A","","","","005Qk00000214EvIAI","2025-02-28T08:34:43.000Z"
"0D5Qk00000Xx6A0KAJ","500Qk00000M8ll3IAB","TextPost","005Qk00000214EvIAI","2025-02-28T08:40:47.000Z","Next Steps Updated: The upgrade is scheduled by customer on 4th March 2025 at 6 PM Singapore time. I will ask TL/Manager to reassign the ticket accordingly.","","","","005Qk00000214EvIAI","2025-02-28T08:40:47.000Z"
"0D5Qk00000Xx69zKAB","500Qk00000M8ll3IAB","TextPost","005Qk00000214EvIAI","2025-02-28T08:40:47.000Z","What We've Learned Updated: The customer wants to upgrade the product. The customer has change freeze till 2nd march as per ticket 00436547.

The customer wants to upgrade NEA in EMEA hours (6 PM Singapore time) on 4th of March, 2025","","","","005Qk00000214EvIAI","2025-02-28T08:40:47.000Z"
"0D5Qk00000Y6bz5KAB","500Qk00000M8ll3IAB","TextPost","005Qk000003cQkXIAU","2025-03-03T16:17:33.000Z","Invitation updated. Attendees: Rejaul Uddin, Ilya Kotov, Ganesan Ramulu","","","","005Qk000003cQkXIAU","2025-03-03T16:17:33.000Z"
"0D5Qk00000Y6bz3KAB","500Qk00000M8ll3IAB","TextPost","005Qk000003cQkXIAU","2025-03-03T16:17:33.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000003cQkXIAU","2025-03-03T16:17:33.000Z"
"0D5Qk00000Y6bz4KAB","500Qk00000M8ll3IAB","TextPost","005Qk000003cQkXIAU","2025-03-03T16:17:33.000Z","Invitation updated. Attendees: Rejaul Uddin, Ilya Kotov","","","","005Qk000003cQkXIAU","2025-03-03T16:17:33.000Z"
"0D5Qk00000Y9ckSKAR","500Qk00000M8ll3IAB","TextPost","0054u000007ow49AAA","2025-03-04T10:59:40.000Z","What We've Learned Updated: The customer wants to upgrade the product. The customer has change freeze till 2nd march as per ticket 00436547.

The customer wants to upgrade NEA in EMEA hours (6 PM Singapore time) on 4th of March, 2025

They do not have access to local admin account.","","","","0054u000007ow49AAA","2025-03-04T10:59:40.000Z"
"0D5Qk00000YXuW8KAL","500Qk00000M8ll3IAB","TextPost","0054u000007ow49AAA","2025-03-07T09:20:56.000Z","What We've Learned Updated: The customer wants to upgrade the product. The customer has change freeze till 2nd march as per ticket 00436547.

The customer wants to upgrade NEA in EMEA hours (6 PM Singapore time) on 4th of March, 2025

They do not have access to local admin account.

Closed per customer's request, there's not real summary to send out, as nothing, but excessive reading of the upgrade Helpcenter article was done on the meeting.","","","","0054u000007ow49AAA","2025-03-07T09:20:56.000Z"
