"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000cOQl3KAG","500Qk00000OJq1tIAD","TextPost","0054u000008ARZjAAO","2025-04-22T13:16:05.000Z","Description: Upgrading 11.6 in PROD to version 12.0 - (Pre-Flight)","","","","0054u000008ARZjAAO","2025-04-22T13:16:05.000Z"
"0D5Qk00000cOR3tKAG","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-22T14:40:18.000Z","Invitation updated. Attendees: Joshua Sexton","","","","0054u000007oss5AAA","2025-04-22T14:40:18.000Z"
"0D5Qk00000cOR3sKAG","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-22T14:40:18.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000007oss5AAA","2025-04-22T14:40:18.000Z"
"0D5Qk00000cOR3uKAG","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-22T14:40:19.000Z","Invitation updated. Attendees: Joshua Sexton, Eugene Johnson","","","","0054u000007oss5AAA","2025-04-22T14:40:19.000Z"
"0D5Qk00000cXaT4KAK","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-24T16:55:10.000Z","<p>completed pre-flight</p><p>Only using AD and FSAA and FSAC</p><p> </p><p>Many custom jobs and reports</p><p> </p><p>1 FSAA proxy - EMC</p><p>-added by IP</p><p> </p><p>Couldn&#39;t get Netsh to create ssl.txt for some reason so I just added a screenshot of the results in the document</p><p>uploading to ticket</p><p> </p><p>upgrade scheduled for Wednesday of next week</p><p> </p>","","","","0054u000007oss5AAA","2025-04-24T16:55:10.000Z"
"0D5Qk00000cY04zKAC","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-24T17:06:15.000Z","Next Steps Updated: upgrade scheduled for 04/30/25","","","","0054u000007oss5AAA","2025-04-24T17:06:15.000Z"
"0D5Qk00000cY04yKAC","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-24T17:06:15.000Z","What We've Learned Updated: completed pre-flight
Only using AD and FSAA and FSAC
 
Many custom jobs and reports

1 FSAA proxy - EMC
-added by IP

Asked about setting up EntraID auditing but not ready to do it yet
The NAA server doesn't have internet access
I explained that it will need at least access to Azure's URLs","","","","0054u000007oss5AAA","2025-04-24T17:06:15.000Z"
"0D5Qk00000d2AwDKAU","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-04-30T20:13:20.000Z","<p>zoom meeting</p><p>plan for meeting</p><p> </p><p>upgrade NAA to latest version</p><p> </p><p>uninstalling NEA</p><p>required reboot after uninstall</p><p>not sure why</p><p>confirmed no processes were running</p><p> </p><p>installing upgrade</p><p>no issues</p><p> </p><p>running first time</p><p>wizard launched</p><p> </p><p>set everything but Azure to upgrade in place</p><p>-they don&#39;t use Azure and it isn</p><p> </p><p>had no issues in the install and upgrade but the FSAA create schema job was running over 45 minutes.</p><p>its sitting at the 18.Data Migration step SQL script 1 0f 3</p><p>used SSMS to confirm that the SQL script was active on the SQL side</p><p> </p><p>going to let it run until tomorrow and let me know</p><p> </p><p>upgraded AIC</p><p>upgraded proxy server</p><p> </p><p> </p><p> </p><p> </p>","","","","0054u000007oss5AAA","2025-04-30T20:13:20.000Z"
"0D5Qk00000d5m4HKAQ","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-05-01T16:25:33.000Z","What We've Learned Updated: completed pre-flight
Only using AD and FSAA and FSAC
 
Many custom jobs and reports

1 FSAA proxy - EMC
-added by IP

Asked about setting up EntraID auditing but not ready to do it yet
The NAA server doesn't have internet access
I explained that it will need at least access to Azure's URLs

---------------

et everything but Azure to upgrade in place
-they don't use Azure and it isn

had no issues in the install and upgrade but the FSAA create schema job was running over 45 minutes.

its sitting at the 18.Data Migration step SQL script 1 0f 3
used SSMS to confirm that the SQL script was active on the SQL side

going to let it run until tomorrow and let me know","","","","0054u000007oss5AAA","2025-05-01T16:25:33.000Z"
"0D5Qk00000d57bMKAQ","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-05-01T16:25:53.000Z","Next Steps Updated: researching issues with FSAA bulk import post upgrade","","","","0054u000007oss5AAA","2025-05-01T16:25:53.000Z"
"0D5Qk00000dUtInKAK","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-05-06T19:33:19.000Z","Next Steps Updated: postpone reply
working on issue holding up this ticket on another ticket","","","","0054u000007oss5AAA","2025-05-06T19:33:19.000Z"
"0D5Qk00000diQAPKA2","500Qk00000OJq1tIAD","TextPost","0054u000007oss5AAA","2025-05-09T20:22:00.000Z","Next Steps Updated: closing ticket","","","","0054u000007oss5AAA","2025-05-09T20:22:00.000Z"
