"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000UNLQiKAP","500Qk00000KJPs1IAH","TextPost","0054u000008ARZjAAO","2025-01-07T14:48:25.000Z","Description: null","","","","0054u000008ARZjAAO","2025-01-07T14:48:25.000Z"
"0D5Qk00000UNVOWKA5","500Qk00000KJPs1IAH","TextPost","0054u000007MiY9AAK","2025-01-07T15:31:18.000Z","Description Updated: *Description not provided by customer**","","","","0054u000007MiY9AAK","2025-01-07T15:31:18.000Z"
"0D5Qk00000UNFNUKA5","500Qk00000KJPs1IAH","TextPost","0054u000007MiY9AAK","2025-01-07T15:31:28.000Z","Description Updated: **Description not provided by customer**","","","","0054u000007MiY9AAK","2025-01-07T15:31:28.000Z"
"0D5Qk00000UP1EiKAL","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-07T20:17:41.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000006goKoAAI","2025-01-07T20:17:41.000Z"
"0D5Qk00000UP1EjKAL","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-07T20:17:42.000Z","Invitation updated. Attendees: Andy Muschlewski","","","","0054u000006goKoAAI","2025-01-07T20:17:42.000Z"
"0D5Qk00000UP1EkKAL","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-07T20:17:42.000Z","Invitation updated. Attendees: Andy Muschlewski, Waseem Khan","","","","0054u000006goKoAAI","2025-01-07T20:17:42.000Z"
"0D5Qk00000UcHucKAF","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-10T17:03:01.000Z","What We've Learned Updated: Created custom Smart log NEA job for the LSASS crashes via Event ID.  ASked via SWAT Channel re CLAP to NTP team .... https://teams.microsoft.com/l/message/19:7e208fbbde5e4309860b091464ad7206@thread.tacv2/1736528505322?tenantId=097499ff-179d-4959-ab02-86d364125bfc&groupId=72f83b71-3180-482b-b588-9595342c5a50&parentMessageId=1736528505322&teamName=SWAT%20Teams%3A%20Product%20Discussions%2C%20PM%20Q%26A%2C%20Feedback&channelName=Threat%20Prevention&createdTime=1736528505322","","","","0054u000006goKoAAI","2025-01-10T17:03:01.000Z"
"0D5Qk00000UcCdJKAV","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-10T17:03:48.000Z","Next Steps Updated: Waiting for results of NEA job run and answer  on SWAT channel re CLDAP","","","","0054u000006goKoAAI","2025-01-10T17:03:48.000Z"
"0D5Qk00000VbvT9KAJ","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-27T20:48:01.000Z","Description Updated: Customer is looking to track CLDAP..... Dev responded in SWAT that  ""I don't think so, (that we can track these) but would be nice if you can provide us with steps to generate such event so we can check this.""","","","","0054u000006goKoAAI","2025-01-27T20:48:01.000Z"
"0D5Qk00000Vc2KTKAZ","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-27T20:48:32.000Z","Steps to Reproduce Updated: Need to do additional research on CLDAP to try to create events","","","","0054u000006goKoAAI","2025-01-27T20:48:32.000Z"
"0D5Qk00000VcKLuKAN","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-27T22:02:12.000Z","What We've Learned Updated: Looks like it used UDP and port 389
https://www.plixer.com/blog/how-to-monitor-cldap-traffic-with-netflow/
Created custom Smart log NEA job for the LSASS crashes via Event ID.  ASked via SWAT Channel re CLAP to NTP team .... https://teams.microsoft.com/l/message/19:7e208fbbde5e4309860b091464ad7206@thread.tacv2/1736528505322?tenantId=097499ff-179d-4959-ab02-86d364125bfc&groupId=72f83b71-3180-482b-b588-9595342c5a50&parentMessageId=1736528505322&teamName=SWAT%20Teams%3A%20Product%20Discussions%2C%20PM%20Q%26A%2C%20Feedback&channelName=Threat%20Prevention&createdTime=1736528505322","","","","0054u000006goKoAAI","2025-01-27T22:02:12.000Z"
"0D5Qk00000VcKLvKAN","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-27T22:02:12.000Z","Next Steps Updated: SWAT Channel Discussion:





https://teams.microsoft.com/l/message/19:7e208fbbde5e4309860b091464ad7206@thread.tacv2/1736528505322?tenantId=097499ff-179d-4959-ab02-86d364125bfc&groupId=72f83b71-3180-482b-b588-9595342c5a50&parentMessageId=1736528505322&teamName=SWAT%20Teams%3A%20Product%20Discussions%2C%20PM%20Q%26A%2C%20Feedback&channelName=Threat%20Prevention&createdTime=1736528505322

Waiting for results of NEA job run and answer  on SWAT channel re CLDAP","","","","0054u000006goKoAAI","2025-01-27T22:02:12.000Z"
"0D5Qk00000VcP8bKAF","500Qk00000KJPs1IAH","TextPost","0054u000006goKoAAI","2025-01-27T22:13:46.000Z","Next Steps Updated: More research needed....
https://learn.microsoft.com/en-us/troubleshoot/windows-server/active-directory/troubleshoot-domain-controller-location-issues
https://www.spiceworks.com/it-security/cyber-risk-management/articles/defending-against-cldap-reflection-attacks/
SWAT Channel Discussion:
https://teams.microsoft.com/l/message/19:7e208fbbde5e4309860b091464ad7206@thread.tacv2/1736528505322?tenantId=097499ff-179d-4959-ab02-86d364125bfc&groupId=72f83b71-3180-482b-b588-9595342c5a50&parentMessageId=1736528505322&teamName=SWAT%20Teams%3A%20Product%20Discussions%2C%20PM%20Q%26A%2C%20Feedback&channelName=Threat%20Prevention&createdTime=1736528505322

Waiting for results of NEA job run and answer  on SWAT channel re CLDAP","","","","0054u000006goKoAAI","2025-01-27T22:13:46.000Z"
