"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000WAL16KAH","500Qk00000LV5qXIAT","TextPost","0054u000008ARZjAAO","2025-02-05T15:05:05.000Z","Description: We are going to switch our active Isilon node and i need help to understand how we switch which node is being scanned by the ecm plugin.  I also have a question on what the effect would be if we just scanned the passive node instead of the active node.  What the difference in data is, etc.","","","","0054u000008ARZjAAO","2025-02-05T15:05:05.000Z"
"0D5Qk00000WAfSlKAL","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-05T16:18:35.000Z","Description Updated: 1) We are going to switch our active Isilon node and i need help to understand how we switch which node is being scanned by the ecm plugin.  
2) I also have a question on what the effect would be if we just scanned the passive node instead of the active node.  What the difference in data is, etc.","","","","005Qk00000276ifIAA","2025-02-05T16:18:35.000Z"
"0D5Qk00000WAfQAKA1","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-05T17:33:12.000Z","Description Updated: 1) We are going to switch our active Isilon node and i need help to understand how we switch which node is being scanned by the EMC Isilon plugin.  
2) I also have a question on what the effect would be if we just scanned the passive node instead of the active node.  What the difference in data is, etc.","","","","005Qk00000276ifIAA","2025-02-05T17:33:12.000Z"
"0D5Qk00000WBkIeKAL","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-05T19:47:48.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk00000276ifIAA","2025-02-05T19:47:48.000Z"
"0D5Qk00000WBkIgKAL","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-05T19:47:49.000Z","Invitation updated. Attendees: Mike Candon, Dusty Grayson, Jason Gray","","","","005Qk00000276ifIAA","2025-02-05T19:47:49.000Z"
"0D5Qk00000WBkIfKAL","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-05T19:47:49.000Z","Invitation updated. Attendees: Mike Candon, Dusty Grayson","","","","005Qk00000276ifIAA","2025-02-05T19:47:49.000Z"
"0D5Qk00000WBuGrKAL","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-05T20:04:58.000Z","<p>@Mike Candon​ - Inquire in the &quot;Technical Knowledge Share - Global&quot; meeting on Tuesday, 11-Feb-2025.</p><p>Or ask Tay on Monday, 10-Feb-2025 ?</p><p>2025_0212 - Meeting with customer</p>","","","","005Qk00000276ifIAA","2025-02-05T20:04:58.000Z"
"0D5Qk00000Ws4KWKAZ","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-12T14:32:46.000Z","<p>+++++</p><p>2025_0212: Meeting with Jason and Corey</p><p>+++++</p><p>1) Do we have any customers who are just scanning backup nodes (a &#39;passive node&#39; that may be one day behind in data). The customer is asking if they can capture the activity data of a synched node - a passive node and not an active node. And they are switching from the active node to the passive node.</p><p> </p><p>2) How does NEA handle a new URL switching from Westfield to Akron but it will be the same data? It is technically a new array but the same data. How does NEA handle that transition as their Akron data center has always had the same data as Westfield (but passive versus active) Currently Isilon does not scan the passive node right now at all.</p><p> The passive node is a day behind in terms of replication. It will be a new URL but all of the same data.</p><p> </p><p>3) They scan once a week to capture all file activities.</p><p> </p><p>+++++</p><p> Current data center configuration: </p><p> +++++</p><p> Westfield, OH - Active Data Center - will be deactivated</p><p> Akron, OH - Passive Data Center -</p><p> </p><p>+++++</p><p> Switching to or migration to:</p><p> +++++</p><p> Akron, OH - will become the new Active Data Center </p><p> Pittsburgh, PA - will become the new Passive Data Center </p>","","","","005Qk00000276ifIAA","2025-02-12T14:32:46.000Z"
"0D5Qk00000WsWx4KAF","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-12T15:43:43.000Z","Invitation updated. Attendees: Mike Candon, Nicholas Zimmer","","","","005Qk00000276ifIAA","2025-02-12T15:43:43.000Z"
"0D5Qk00000WsWx5KAF","500Qk00000LV5qXIAT","TextPost","005Qk00000276ifIAA","2025-02-12T15:43:43.000Z","Invitation updated. Attendees: Mike Candon, Nicholas Zimmer, Jason Gray","","","","005Qk00000276ifIAA","2025-02-12T15:43:43.000Z"
