"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000WJldoKAD","500Qk00000Lb1NeIAJ","TextPost","0054u000008ARZjAAO","2025-02-07T12:04:36.000Z","Description: We are getting this error message for some of the NETAPPS. how to fix this issue?

BBI01-NS012.GLOBAL.TONetApp Release 9.4P3
CAKENICS-OFS012.GLOBAL.TONetApp Release 9.9.1P15
CARUAICS-OFS012.GLOBAL.TONetApp Release 9.9.1P15
<a href='https://PSG00-NS012.NHY' target='_blank'>PSG00-NS012.NHY</a>.HYDRO.COMNetApp Release 9.7P6
<a href='https://DKTO3PV-NAO012.NHY' target='_blank'>DKTO3PV-NAO012.NHY</a>.HYDRO.COMNetApp Release 9.7P12
<a href='https://FIN00-NS012.NHY' target='_blank'>FIN00-NS012.NHY</a>.HYDRO.COMNetApp Release 9.7P6
MAG01-NS012.GLOBAL.TONetApp Release 9.4P3
USSPDICS-OFS012.GLOBAL.TONetApp Release 9.12.1P11","","","","0054u000008ARZjAAO","2025-02-07T12:04:36.000Z"
"0D5Qk00000WJvxpKAD","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-07T12:28:20.000Z","What We've Learned Updated: Customer is getting this error during NetApp FSAA scans:
Error during processing: Cannot connect to server with any selected protocol""","","","","005Qk000002b4gDIAQ","2025-02-07T12:28:20.000Z"
"0D5Qk00000WK5kSKAT","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-07T13:23:05.000Z","What We've Learned Updated: Customer is getting this error during NetApp FSAA scans:
Error during processing: Cannot connect to server with any selected protocol""

Affected target hosts:

From GLOBAL domain: 
BBI01-NS012 
CAKENICS-OFS012
CARUAICS-OFS012
MAG01-NS012
USSPDICS-OFS012

From NHY domain:
PSG00-NS012
DKTO3PV-NAO012
FIN00-NS012","","","","005Qk000002b4gDIAQ","2025-02-07T13:23:05.000Z"
"0D5Qk00000WK96LKAT","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-07T13:35:37.000Z","Next Steps Updated: Customer will provide additional information about issue. 
Customer will provide host names of the proxy servers that are configured to scan affected target hosts. 
Customer will export and upload support logs.","","","","005Qk000002b4gDIAQ","2025-02-07T13:35:37.000Z"
"0D5Qk00000WnTyaKAF","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-11T15:34:35.000Z","Next Steps Updated: Support will analyze provided logs to isolate the cause of issue.","","","","005Qk000002b4gDIAQ","2025-02-11T15:34:35.000Z"
"0D5Qk00000WnfDHKAZ","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-11T15:39:47.000Z","Steps to Reproduce Updated: Have NEA 11.5 installed. 
Have FSAA scan configured with remote Proxy as a service with Secure RPC
FSAA proxy and target NetApp hosts are located in different domains. 
FSAA scan periodically fails with:
Error during processing: Cannot connect to server with any selected protocol""","","","","005Qk000002b4gDIAQ","2025-02-11T15:39:47.000Z"
"0D5Qk00000Wrbs4KAB","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-12T12:39:51.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000002b4gDIAQ","2025-02-12T12:39:51.000Z"
"0D5Qk00000Wrbs6KAB","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-12T12:39:51.000Z","Invitation updated. Attendees: Artem Naskal, Damir Akhmatshin, saveetha Anesh","","","","005Qk000002b4gDIAQ","2025-02-12T12:39:51.000Z"
"0D5Qk00000Wrbs5KAB","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-12T12:39:51.000Z","Invitation updated. Attendees: Artem Naskal, Damir Akhmatshin","","","","005Qk000002b4gDIAQ","2025-02-12T12:39:51.000Z"
"0D5Qk00000WwbbLKAR","500Qk00000Lb1NeIAJ","TextPost","005Qk000002b4gDIAQ","2025-02-13T10:36:14.000Z","What We've Learned Updated: Customer is getting this error during NetApp FSAA scans:
Error during processing: Cannot connect to server with any selected protocol""

Affected target hosts:

From GLOBAL domain: 
BBI01-NS012 
CAKENICS-OFS012
CARUAICS-OFS012
MAG01-NS012
USSPDICS-OFS012

From NHY domain:
PSG00-NS012
DKTO3PV-NAO012
FIN00-NS012

---------- 
13.02.2025 

Each of the target hosts mentioned above have their own corresponding Proxy servers, which are the following:
GLOBAL
-------------------------------------------
 IMS SERVERS
FRBBIPV-IMS02
CAKENPV-IMS02
CARUAPV-IMS02
NOMAGPV-IMS02
USSPDPV-IMS02
 
NHY
-------------------------------------------
IMS SERVERS
FRBDCPV-IMS02
DKTO1PV-IMS02
SEMYRPV-IMS02

Each of these proxies use this connection profile:
GLOBAL NETAPP

Connection profle consists of these two service account:
GLOBALs-stealthnetapp (Active Directory Account)
NHYs01305proxy (StealthAudit task (Domain))

On today`s remote session we checked required network ports and wmi connection between StealthAudit server and Proxy server. 
ports 445 and 135 are openned and WMI connection test was successful as well. 

Also, we confirmed that connection between StealthAudit server and Proxy servers using ""NHYs01305proxy"" account for ""Secure RPC"" works successfully. Both Job and FSAA applet logs indicate that connection from Stealth Audit to Proxy can be successfully established. 

However, issue appears when Proxy service tries to connect to target NetApp host using ""GLOBALs-stealthnetapp"" account to enumerate NetApp shares. 

As such, in order to resolve this issue, we need to figure out why ""GLOBALs-stealthnetapp"" account leads to the error ""Failed to connect to \TargetNetAppHostIPC$"" when this account is used from the Proxy servers in question to connect to NetApp target hosts. 

Case that is linked to this issue:
00431554 - FSAA scan error: Failed to connect to \BEWLDPV-APP002IPC$:","","","","005Qk000002b4gDIAQ","2025-02-13T10:36:14.000Z"
