"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000VpPFJKA3","500Qk00000LHL2QIAX","TextPost","0054u000008ARZjAAO","2025-01-30T20:08:19.000Z","Description: OpenAccess job ran successfully and identified shares that were openly exposed to everyone group.  tickets were sent out to teams to remediate.  Week or so later OpenAccess job runs again but the previously fixed shares are still appearing on list.  Also is there a way to whitelist against a host that is authorized to have open shares.","","","","0054u000008ARZjAAO","2025-01-30T20:08:19.000Z"
"0D5Qk00000VuUZnKAN","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-01-31T22:48:43.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000007osjSAAQ","2025-01-31T22:48:43.000Z"
"0D5Qk00000VuUZoKAN","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-01-31T22:48:43.000Z","Invitation updated. Attendees: Frantz Baptiste","","","","0054u000007osjSAAQ","2025-01-31T22:48:43.000Z"
"0D5Qk00000VuUZpKAN","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-01-31T22:48:43.000Z","Invitation updated. Attendees: Frantz Baptiste, Damus Aulu","","","","0054u000007osjSAAQ","2025-01-31T22:48:43.000Z"
"0D5Qk00000ZA7DoKAL","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-13T22:31:30.000Z","<p>I replaced the Open Access job with the one from the Instance Solutions</p><p>I ran the job, and it ran successfully, with no error or warning</p><p>The open Share showed up in the AIC under the Resource Audit</p><p>Can&#39;t see the Share in NEA report</p>","","","","0054u000007osjSAAQ","2025-03-13T22:31:30.000Z"
"0D5Qk00000ZA544KAD","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-13T22:34:12.000Z","What We've Learned Updated: cannot see new Share under the Open Share from the report","","","","0054u000007osjSAAQ","2025-03-13T22:34:12.000Z"
"0D5Qk00000Z9vQBKAZ","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-13T22:34:37.000Z","Next Steps Updated: Review for escalation","","","","0054u000007osjSAAQ","2025-03-13T22:34:37.000Z"
"0D5Qk00000Z9ucDKAR","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-13T22:38:07.000Z","Steps to Reproduce Updated: Create a new open share
Run ADI and Permission scan, and Bulk Import
Review the report for new open share","","","","0054u000007osjSAAQ","2025-03-13T22:38:07.000Z"
"0D5Qk00000ZiNl6KAF","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-19T18:20:00.000Z","<p>From my lab, I created a shared with Everyone full access</p><p>I ran the FSAA System Scan and the bulk Import, and I also ran the FS_OpenAccess job.</p><p>I expanded the Result and clicked on FS_OpenAccess_OpenResources.</p><p>The new share shown under the FS_OpenAccess_OpenResources</p><p>I also clicked on the Report &quot;Open Shares&quot; and the new share was there</p><p> </p><p>In the customer&#39;s case, it is different.</p><p>The new share is not shown under the Open Share report or the FS_OpenAccess_OpenResources.</p>","","","","0054u000007osjSAAQ","2025-03-19T18:20:00.000Z"
"0D5Qk00000ZpDEHKA3","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-03-21T14:32:09.000Z","<p>@Frantz Baptiste​ - was the FSAA_Exceptions job also run?</p>","","","","0054u000007MiY9AAK","2025-03-21T14:32:09.000Z"
"0D5Qk00000aI7QbKAK","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-03-25T17:01:07.000Z","Next Steps Updated: Collected FSAA Exceptions and Open Access job logs for escalation","","","","0054u000007MiY9AAK","2025-03-25T17:01:07.000Z"
"0D5Qk00000aIu10KAC","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-03-25T19:00:55.000Z","Next Steps Updated: Collecting FSAA Exceptions and Open Access job logs for escalation","","","","0054u000007MiY9AAK","2025-03-25T19:00:55.000Z"
"0D5Qk00000aLZuvKAG","500Qk00000LHL2QIAX","TextPost","0050g000006QqyEAAS","2025-03-26T14:31:36.000Z","<p>@Frantz Baptiste​ @Nicholas Zimmer​ I&#39;m very confused about the focus of this ticket - the support ticket summary seems to mean that the customer is not seeing shares that are open. i.e. the report is missing data.</p><p> </p><p>the escalation ticket description implies that after seeing open shares and confirming remediation, those open share still appear on the Open Access report.</p><p> </p><p>What&#39;s the true issue here? Or are there 2 and we need another ticket?</p>","","","","0050g000006QqyEAAS","2025-03-26T14:31:36.000Z"
"0D5Qk00000aNlaAKAS","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-26T21:34:51.000Z","<p>It&#39;s only one issue.</p><p>The customer created the open share, which shows in AIC but isn&#39;t shown in the NEA Open Access Report or FS_OpenAccess_OpenRsources.</p>","","","","0054u000007osjSAAQ","2025-03-26T21:34:51.000Z"
"0D5Qk00000aWbWEKA0","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-29T00:07:05.000Z","Description Updated: The openAccess job ran successfully and did not identify new shares that were openly exposed to everyone group.","","","","0054u000007osjSAAQ","2025-03-29T00:07:05.000Z"
"0D5Qk00000aWVu3KAG","500Qk00000LHL2QIAX","TextPost","0054u000007osjSAAQ","2025-03-29T00:08:46.000Z","Steps to Reproduce Updated: Create a new open share
Run ADI and Permission scan, and Bulk Import
Run the Open Access group
Review the report for new open share","","","","0054u000007osjSAAQ","2025-03-29T00:08:46.000Z"
"0D5Qk00000aoM4LKAU","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-04-01T15:44:47.000Z","Next Steps Updated: Artifacts received 3/26
Poked dev for an update 3/28","","","","0054u000007MiY9AAK","2025-04-01T15:44:47.000Z"
"0D5Qk00000bsdKiKAI","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-04-15T13:36:09.000Z","Next Steps Updated: Bumped to P2 on 4/2 - still no update from dev. This does not appear to be refined yet.
Artifacts received 3/26
Poked dev for an update 3/28","","","","0054u000007MiY9AAK","2025-04-15T13:36:09.000Z"
"0D5Qk00000bsrq4KAA","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-04-15T13:52:56.000Z","Next Steps Updated: Bumped to P2 on 4/2 - on backlog awaiting dev bandwidth
Artifacts received 3/26","","","","0054u000007MiY9AAK","2025-04-15T13:52:56.000Z"
"0D5Qk00000c5aByKAI","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-04-18T19:10:12.000Z","Next Steps Updated: Bumped to P2 on 4/2 - on backlog awaiting dev bandwidth
Artifacts received 3/26

4-18 This week dev confirmed still on backlog so still awaiting. updated customer","","","","0054u000006gpoAAAQ","2025-04-18T19:10:12.000Z"
"0D5Qk00000cvS72KAE","500Qk00000LHL2QIAX","TextPost","0054u000007MiY9AAK","2025-04-29T13:48:17.000Z","Next Steps Updated: Dev is investigating the job analyses. New artifacts uploaded 4/28","","","","0054u000007MiY9AAK","2025-04-29T13:48:17.000Z"
"0D5Qk00000cvpIOKAY","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-04-29T15:50:48.000Z","Invitation updated. Attendees: Nicholas Zimmer,","","","","0054u000006gpoAAAQ","2025-04-29T15:50:48.000Z"
"0D5Qk00000cvpIPKAY","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-04-29T15:50:48.000Z","Invitation updated. Attendees: Nicholas Zimmer, , Damus Aulu","","","","0054u000006gpoAAAQ","2025-04-29T15:50:48.000Z"
"0D5Qk00000cvx5oKAA","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-04-29T15:56:06.000Z","<p>To whomever gets the meeting.</p><p>Effectively lets set up the Scans and rerun them to make sure all is well. Then make sure damus knows what to collect.</p><p> </p><p>We need these logs</p><p>FSAA Scan and Bulk Import in Debug as well as Exclusions.</p><p>Applet is FSAASrv.dll and its logs are found in the FSAA[Host] folder with the format</p><p>[FSAA/FSAC/SDD]_[HOST]_[DATETIME]_[GUID]_#.log</p><p> </p><p>Please have customer change their job log levels to DEBUG at</p><p>Settings &gt; Application &gt; Log level &gt; Debug (this is global)</p><p>or on the specific jobs in question rt click job &gt; properties &gt; Log Level &gt; Debug.</p><p> </p><p>Looks like scans are not being scoped - can we verify this?</p><p> </p><p>Also verify the same host list is assigned to Scan import and Exclusions.</p>","","","","0054u000006gpoAAAQ","2025-04-29T15:56:06.000Z"
"0D5Qk00000dZnkqKAC","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-05-07T21:23:46.000Z","Invitation updated. Attendees: Nicholas Zimmer, Damus Aulu","","","","0054u000006gpoAAAQ","2025-05-07T21:23:46.000Z"
"0D5Qk00000dZnkpKAC","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-05-07T21:23:46.000Z","Invitation updated. Attendees: Nicholas Zimmer","","","","0054u000006gpoAAAQ","2025-05-07T21:23:46.000Z"
"0D5Qk00000de5L0KAI","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-05-08T20:16:07.000Z","What We've Learned Updated: cannot see new Share under the Open Share from the report
5-8 investigated and confirmed with a test that all is working now.","","","","0054u000006gpoAAAQ","2025-05-08T20:16:07.000Z"
"0D5Qk00000de5L1KAI","500Qk00000LHL2QIAX","TextPost","0054u000006gpoAAAQ","2025-05-08T20:16:07.000Z","Next Steps Updated: Dev is investigating the job analyses. New artifacts uploaded 4/28

5-8 Closing ticket after confirming all is well","","","","0054u000006gpoAAAQ","2025-05-08T20:16:07.000Z"
