"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000cPcylKAC","500Qk00000OKXoPIAX","TextPost","0054u000008ARZjAAO","2025-04-22T17:03:29.000Z","Description: I am getting an error message with the Bulk Import: The MERGE statement attempted to UPDATE or DELETE the same row more than once.  This is only happening with one host. I am not sure how to go about finding what row in the database is causing this. The error is happening during the FSAA Bulk Import. Looking at the log, I don't know if other records for this host are getting imported or if the job fails at this point.","","","","0054u000008ARZjAAO","2025-04-22T17:03:29.000Z"
"0D5Qk00000cPtK4KAK","500Qk00000OKXoPIAX","TextPost","0054u000006gpoAAAQ","2025-04-22T18:37:59.000Z","<p>21/04/2025 22:42:17	ERROR	FILESYSTEMACCESS	Stealthbits.StealthAUDIT.DataCollectors.Tasks.Task.StartExecute	&quot;Netwrix.CoordinationLibrary.Processes.FSAABulkImportProcess|Failed to import SA_FSAA_Resources: The MERGE statement attempted to UPDATE or DELETE the same row more than once. This happens when a target row matches more than one source row. A MERGE statement cannot UPDATE/DELETE the same row of the target table multiple times. Refine the ON clause to ensure a target row matches at most one source row, or use the GROUP BY clause to group the source rows.&quot;	DRF-ERNIE2	DCExtract	17120	11324	12156</p><p> </p><p>This is not great. I think we are going to have to escalate based on the message. It was importing data into our new 12.0 table </p><p> SA_FSAA_ResourcesScanTypeDetails</p><p> </p><p>If customer is willing and able to bundle up all logs associated with scan / import including Logs on proxy and if possible the T2 database folder in its entirety. We can escalate.</p><p> </p><p>After grabbing all available artifacts, I would recommend a repair.</p>","","","","0054u000006gpoAAAQ","2025-04-22T18:37:59.000Z"
"0D5Qk00000cYl26KAC","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-24T19:26:22.000Z","<p>client uploaded files and I reorganized them</p><p>-FSAA scan and bulk import job exports</p><p>-Proxy logs</p><p>-T2s</p>","","","","0054u000007oss5AAA","2025-04-24T19:26:22.000Z"
"0D5Qk00000cbnnPKAQ","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T15:41:59.000Z","What We've Learned Updated: merge error while importing data into our new 12.0 table, SA_FSAA_ResourcesScanTypeDetails

Partnered with T2 and would like to escalate
its likely a repair will fix the issue, but still want to escalate to identify root cause

---------------

gathered logs and attached to ticket
-FSAA System Scan job export
-FSAA Bulk Import job export
-Proxy logs
-T2s from Proxy

---------------

copied T2s and client's bulk import job to my lab, targeted the host having issues (DRF-ERNIE2) and ran it
bulk imported without issue

Provided client with instructions to repair the database for that host","","","","0054u000007oss5AAA","2025-04-25T15:41:59.000Z"
"0D5Qk00000cbnXVKAY","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T15:42:13.000Z","Next Steps Updated: escalate ticket","","","","0054u000007oss5AAA","2025-04-25T15:42:13.000Z"
"0D5Qk00000cbpt2KAA","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T15:52:13.000Z","Next Steps Updated: escalate ticket
waiting to hear if the repair resolved the issue","","","","0054u000007oss5AAA","2025-04-25T15:52:13.000Z"
"0D5Qk00000cboTVKAY","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T15:53:12.000Z","What We've Learned Updated: merge error while importing data into our new 12.0 table, SA_FSAA_ResourcesScanTypeDetails

""21/04/2025 22:42:17 ERROR FILESYSTEMACCESS Stealthbits.StealthAUDIT.DataCollectors.Tasks.Task.StartExecute ""Netwrix.CoordinationLibrary.Processes.FSAABulkImportProcess|Failed to import SA_FSAA_Resources: The MERGE statement attempted to UPDATE or DELETE the same row more than once. This happens when a target row matches more than one source row. A MERGE statement cannot UPDATE/DELETE the same row of the target table multiple times. Refine the ON clause to ensure a target row matches at most one source row, or use the GROUP BY clause to group the source rows."" DRF-ERNIE2 DCExtract 17120 11324 12156""

Partnered with T2 and would like to escalate
its likely a repair will fix the issue, but still want to escalate to identify root cause

---------------

gathered logs and attached to ticket
-FSAA System Scan job export
-FSAA Bulk Import job export
-Proxy logs
-T2s from Proxy

---------------

copied T2s and client's bulk import job to my lab, targeted the host having issues (DRF-ERNIE2) and ran it
bulk imported without issue

Provided client with instructions to repair the database for that host","","","","0054u000007oss5AAA","2025-04-25T15:53:12.000Z"
"0D5Qk00000cbmGRKAY","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T15:58:23.000Z","<p>asked client to clarify what kind of FS DRF-ERNIE2 is (e.g., Windows, NetApp, Dell EMC)</p><p>Also asked for build number</p>","","","","0054u000007oss5AAA","2025-04-25T15:58:23.000Z"
"0D5Qk00000ccb9jKAA","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T18:13:48.000Z","Steps to Reproduce Updated: run the FSAA bulk import job","","","","0054u000007oss5AAA","2025-04-25T18:13:48.000Z"
"0D5Qk00000ccdchKAA","500Qk00000OKXoPIAX","TextPost","0054u000007oss5AAA","2025-04-25T18:15:23.000Z","What We've Learned Updated: merge error while importing data into our new 12.0 table, SA_FSAA_ResourcesScanTypeDetails

NetApp server having the issue, but other NetApp servers are not having the issue

""21/04/2025 22:42:17 ERROR FILESYSTEMACCESS Stealthbits.StealthAUDIT.DataCollectors.Tasks.Task.StartExecute ""Netwrix.CoordinationLibrary.Processes.FSAABulkImportProcess|Failed to import SA_FSAA_Resources: The MERGE statement attempted to UPDATE or DELETE the same row more than once. This happens when a target row matches more than one source row. A MERGE statement cannot UPDATE/DELETE the same row of the target table multiple times. Refine the ON clause to ensure a target row matches at most one source row, or use the GROUP BY clause to group the source rows."" DRF-ERNIE2 DCExtract 17120 11324 12156""

Partnered with T2 and would like to escalate
its likely a repair will fix the issue, but still want to escalate to identify root cause

---------------

gathered logs and attached to ticket
-FSAA System Scan job export
-FSAA Bulk Import job export
-Proxy logs
-T2s from Proxy

---------------

copied T2s and client's bulk import job to my lab, targeted the host having issues (DRF-ERNIE2) and ran it
bulk imported without issue

Provided client with instructions to repair the database for that host","","","","0054u000007oss5AAA","2025-04-25T18:15:23.000Z"
