"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000eG51lKAC","500Qk00000PFr7HIAT","TextPost","0054u000008ARZjAAO","2025-05-16T17:00:45.000Z","Description: 1. Who is the customer (Account)? 
State of South Dakota

3. What was the customer trying to do or accomplish when the issue happened?
Collect SPO activity

4. What is the impact of the issue on the customer's business? 
Missed activity events for long term storage might mean not having insight into certain activity later on if needed.

5. Who is affected by this issue?
Customer

6. When did the issue start?
Found it occurring on May 6 but not sure if it started then.

7. Is this the first time the customer has tried this? If not, has anything changed in their environment since the last time it worked?
First time we've seen these warnings.

8. Have any troubleshooting steps been attempted yet? If so, what have they tried?
What are the steps to reproduce the issue? If not reproducible, what are the steps the user took immediately before the issue occurred?
No extra troubleshooting steps. Its quite common unfortunately for MSFT to add new event type or change things up to where our NAA dev team needs to map those unknown event types to properly pull them into our database. This is standard procedure and really should just involve spinning up an escalation for dev to be made aware of the new event types so they can hopefully get it on a sprint to map them properly.

Unknown event types (screenshot also attached):
ListItemApprovalCreated
ListItemApprovalApproved
FileMediaThumbnailSetDeleted
FileTranscriptPropertiesEdited
CustomThumbnailUploaded","","","","0054u000008ARZjAAO","2025-05-16T17:00:45.000Z"
"0D5Qk00000eG8CwKAK","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T17:46:56.000Z","What We've Learned Updated: +++++
5 more Unknown SPO event types (screenshot also attached):
+++++
ListItemApprovalCreated
ListItemApprovalApproved
FileMediaThumbnailSetDeleted
FileTranscriptPropertiesEdited
CustomThumbnailUploaded","","","","005Qk00000276ifIAA","2025-05-16T17:46:56.000Z"
"0D5Qk00000eGE4uKAG","500Qk00000PFr7HIAT","TextPost","0050g000006QqyEAAS","2025-05-16T17:47:58.000Z","<p>@Tay Caliguiri​ another SPO Event Type request</p>","","","","0050g000006QqyEAAS","2025-05-16T18:20:21.000Z"
"0D5Qk00000eGBOxKAO","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T17:48:26.000Z","Steps to Reproduce Updated: 1) In NEA 11.6.0.138 (not sure about versions up to 11.6.0.143).
2) Run the Job > SharePoint 
3) See under ""0.Collection"" > ""3-SPAC_SystemScans""
4) Right-click the ""3-SPAC_SystemsScans"" job and select ""Explore Folder""
5) Retrieve and review the ""3-SPAC_SystemScans_Log.tsv"" log.
6) Search for ""Unknown event type"" in the ""3-SPAC_SystemScans_Log.tsv"" log.","","","","005Qk00000276ifIAA","2025-05-16T17:48:26.000Z"
"0D5Qk00000eG8RKKA0","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T17:50:48.000Z","<p>@Tay Caliguiri​ </p><p>@Nicholas Zimmer​ </p><p> </p><p>+++++</p><p>NEA 11.6.0.138:</p><p>+++++</p><p>7 more SPO Unknown event types (screenshot also attached) to be added to the &quot;SharePointActivityMappings.xml&quot; and howeverwherever else it is coded in the product:</p><p>+++++</p><p>ListItemApprovalCreated</p><p>ListItemApprovalApproved</p><p>FileMediaThumbnailSetDeleted</p><p>FileTranscriptPropertiesEdited</p><p>CustomThumbnailUploaded</p><p>SharingLinkDeleted</p><p>CommentDeleted</p><p> </p><p>Or has this already been incorporated into another HF in the product?</p>","","","","005Qk00000276ifIAA","2025-05-16T17:50:48.000Z"
"0D5Qk00000eG1MpKAK","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T17:57:39.000Z","Description Updated: 1. Who is the customer (Account)? 
State of South Dakota

3. What was the customer trying to do or accomplish when the issue happened?
Collect SPO activity

4. What is the impact of the issue on the customer's business? 
Missed activity events for long term storage might mean not having insight into certain activity later on if needed.

5. Who is affected by this issue?
Customer

6. When did the issue start?
Found it occurring on May 6 but not sure if it started then.

7. Is this the first time the customer has tried this? If not, has anything changed in their environment since the last time it worked?
First time we've seen these warnings.

8. Have any troubleshooting steps been attempted yet? If so, what have they tried?
What are the steps to reproduce the issue? If not reproducible, what are the steps the user took immediately before the issue occurred?
No extra troubleshooting steps. Its quite common unfortunately for MSFT to add new event type or change things up to where our NAA dev team needs to map those unknown event types to properly pull them into our database. This is standard procedure and really should just involve spinning up an escalation for dev to be made aware of the new event types so they can hopefully get it on a sprint to map them properly.

+++++
7 SharePoint Unknown event types (screenshot also attached):
+++++
ListItemApprovalCreated
ListItemApprovalApproved
FileMediaThumbnailSetDeleted
FileTranscriptPropertiesEdited
CustomThumbnailUploaded
SharingLinkDeleted
CommentDeleted","","","","005Qk00000276ifIAA","2025-05-16T17:57:39.000Z"
"0D5Qk00000eG7LwKAK","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T17:58:03.000Z","What We've Learned Updated: +++++
7 more Unknown SPO (SharePointActivityMappings) event types (screenshot also attached):
+++++
ListItemApprovalCreated
ListItemApprovalApproved
FileMediaThumbnailSetDeleted
FileTranscriptPropertiesEdited
CustomThumbnailUploaded
SharingLinkDeleted
CommentDeleted","","","","005Qk00000276ifIAA","2025-05-16T17:58:03.000Z"
"0D5Qk00000eG2XUKA0","500Qk00000PFr7HIAT","TextPost","0054u000007MiY9AAK","2025-05-16T18:03:09.000Z","Next Steps Updated: Escalated to R&D - awaiting Triage.
A hotfix would be preferred over a CU for this, if possible.","","","","0054u000007MiY9AAK","2025-05-16T18:03:09.000Z"
"0D5Qk00000eGCQ4KAO","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T18:05:36.000Z","What We've Learned Updated: +++++
7 more Unknown SPO (SharePointActivityMappings) event types (screenshot also attached):
+++++
ListItemApprovalCreated
ListItemApprovalApproved
FileMediaThumbnailSetDeleted
FileTranscriptPropertiesEdited
CustomThumbnailUploaded
SharingLinkDeleted
CommentDeleted

I could not find any of the 7 SPO event types in the ""auditor-enterprise-hotfix-11.6.0.077""","","","","005Qk00000276ifIAA","2025-05-16T18:05:36.000Z"
"0D5Qk00000eGLBAKA4","500Qk00000PFr7HIAT","TextPost","005Qk00000276ifIAA","2025-05-16T18:07:30.000Z","Next Steps Updated: Escalated to R&D - awaiting Triage.
A hotfix would be preferred over a CU for this, if possible.

Note from Devon: The other event types seen in the screenshot were already fixed by dev in a recent hotfix.
SharingLinkDeleted
CommentDeleted

I just have not implemented that hotfix with this customer yet.","","","","005Qk00000276ifIAA","2025-05-16T18:07:30.000Z"
