"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Q4rgQKAR","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2024-11-04T21:05:54.000Z","Next Steps Updated: Customer will deploy hotfix and remove xmls","","","","0054u000007MiY9AAK","2024-11-04T21:05:54.000Z"
"0D5Qk00000RBDNRKA5","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2024-11-18T16:16:56.000Z","What We've Learned Updated: HF deployed and the activityresource xmls were removed. Customer is now getting:
System.Collections.Generic.KeyNotFoundException: The given key was not present in the dictionary.
at System.Collections.Generic.Dictionary`2.get_Item(TKey key)
at Stealthbits.StealthAUDIT.DataCollectors.SPAA.Activity.ActivityResourceManager.<>c__DisplayClass13_0.<AddActivityResourcesToSpaaDb>b__3(SqlDataReader reader)
at Stealthbits.StealthAUDIT.DataCollectors.SPAA.Activity.ActivityResourceManager.AddActivityResourcesToSpaaDb()
at Stealthbits.StealthAUDIT.DataCollectors.SPAA.Tasks.SharePointTask.AddActivityResourcesToSpaaDb()
at Stealthbits.StealthAUDIT.DataCollectors.SPAA.Tasks.ScanSharePointAccessTask.InternalProcessRecord()
at Stealthbits.StealthAUDIT.DataCollectors.Tasks.Task.StartExecute()","","","","0054u000007MiY9AAK","2024-11-18T16:16:56.000Z"
"0D5Qk00000RBDNSKA5","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2024-11-18T16:16:56.000Z","Next Steps Updated: Awaiting R&D review","","","","0054u000007MiY9AAK","2024-11-18T16:16:56.000Z"
"0D5Qk00000YxxexKAB","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2025-03-11T12:29:28.000Z","Next Steps Updated: QA team passed the fix- awaiting final merge into 11.6 and HF link","","","","0054u000007MiY9AAK","2025-03-11T12:29:28.000Z"
"0D5Qk00000ZdH2NKAV","500Qk00000C8rt5IAB","TextPost","0050g000006QqyEAAS","2025-03-18T15:04:15.000Z","QA engineer is still reviewing - expected to be released soon","","","","0050g000006QqyEAAS","2025-03-18T15:04:15.000Z"
"0D5Qk00000ZdWctKAF","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2025-03-18T16:43:45.000Z","Next Steps Updated: QA engineer is still reviewing - expected to be released soon","","","","0054u000007MiY9AAK","2025-03-18T16:43:45.000Z"
"0D5Qk00000ZgtsvKAB","500Qk00000C8rt5IAB","TextPost","0054u000006gpoAAAQ","2025-03-19T13:59:33.000Z","Invitation updated. Attendees: No attendees listed","","","","0054u000006gpoAAAQ","2025-03-19T13:59:33.000Z"
"0D5Qk00000ZgtsxKAB","500Qk00000C8rt5IAB","TextPost","0054u000006gpoAAAQ","2025-03-19T13:59:34.000Z","Invitation updated. Attendees: Nicholas Zimmer, Brittany Lac","","","","0054u000006gpoAAAQ","2025-03-19T13:59:34.000Z"
"0D5Qk00000ZgtswKAB","500Qk00000C8rt5IAB","TextPost","0054u000006gpoAAAQ","2025-03-19T13:59:34.000Z","Invitation updated. Attendees: Nicholas Zimmer","","","","0054u000006gpoAAAQ","2025-03-19T13:59:34.000Z"
"0D5Qk00000aFSdyKAG","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2025-03-24T23:08:59.000Z","Next Steps Updated: SPAA Bulk Import was successful at low levels, running deeper system scan and bulk import to verify all is good.","","","","0054u000007MiY9AAK","2025-03-24T23:08:59.000Z"
"0D5Qk00000aFL54KAG","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2025-03-24T23:10:51.000Z","What We've Learned Updated: SPAA Level 2 scan is taking AWHILE. Told Brittany to rerun the level 2 before running level 3 to get a better idea of time with differential on.","","","","0054u000007MiY9AAK","2025-03-24T23:10:51.000Z"
"0D5Qk00000aNIt9KAG","500Qk00000C8rt5IAB","TextPost","0050g000006QqyEAAS","2025-03-26T20:30:20.000Z","The fix for this issue is published to CU NEA v11.6.0.138","","","","0050g000006QqyEAAS","2025-03-26T20:30:20.000Z"
"0D5Qk00000apY6vKAE","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2025-04-01T19:16:18.000Z","Next Steps Updated: SPAA Bulk Import was successful at low levels, running deeper system scan and bulk import to verify all is good.

R&D reviewing logs to confirm pace and everything looks good in the log running SPAA scan.","","","","0054u000007MiY9AAK","2025-04-01T19:16:18.000Z"
"0D5Qk00000bIw10KAC","500Qk00000C8rt5IAB","TextPost","0054u000006gpoAAAQ","2025-04-07T16:08:36.000Z","<p>Waiting for this to ask on the Tech Share tomorrow to confirm if SPAA respects differential.</p>","","","","0054u000006gpoAAAQ","2025-04-07T16:08:36.000Z"
"0D5Qk00000bpJFdKAM","500Qk00000C8rt5IAB","TextPost","0054u000007MiY9AAK","2025-04-14T15:25:29.000Z","<p>Checkpointing occurs on the main thread while other processing is occurring. Does not &quot;stop/pause&quot; our scan.</p>","","","","0054u000007MiY9AAK","2025-04-14T15:25:29.000Z"
"0D5Qk00000buexmKAA","500Qk00000C8rt5IAB","TextPost","0054u000006gpoAAAQ","2025-04-15T22:06:12.000Z","What We've Learned Updated: SPAA Level 2 scan is taking AWHILE. Told Brittany to rerun the level 2 before running level 3 to get a better idea of time with differential on.

Since this is past the Create Trustees table should we have a problem post scan we will open a fresh ticket for that.","","","","0054u000006gpoAAAQ","2025-04-15T22:06:12.000Z"
"0D5Qk00000butqxKAA","500Qk00000C8rt5IAB","TextPost","0054u000006gpoAAAQ","2025-04-15T22:11:23.000Z","Description Updated: This ticket covered several  issues.
Ultimately the last one we were determined to fix was an import issue.
New CU was created to create a new table in the database for Trustees.
We have passed that table on a 0 level and a level 2 scan at this time.","","","","0054u000006gpoAAAQ","2025-04-15T22:11:23.000Z"
