"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000XHp8EKAT","500Qk00000M3dkxIAB","TextPost","0054u000008ARZjAAO","2025-02-19T10:16:08.000Z","Description: slow sharepoint scans","","","","0054u000008ARZjAAO","2025-02-19T10:16:08.000Z"
"0D5Qk00000XxbE5KAJ","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-02-28T14:55:31.000Z","Invitation updated. Attendees: Artem Naskal","","","","005Qk000002b4gDIAQ","2025-02-28T14:55:31.000Z"
"0D5Qk00000XxbE4KAJ","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-02-28T14:55:31.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000002b4gDIAQ","2025-02-28T14:55:31.000Z"
"0D5Qk00000XxbE6KAJ","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-02-28T14:55:31.000Z","Invitation updated. Attendees: Artem Naskal, Rehaan R","","","","005Qk000002b4gDIAQ","2025-02-28T14:55:31.000Z"
"0D5Qk00000XxeqMKAR","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-02-28T14:58:06.000Z","Steps to Reproduce Updated: n/a","","","","005Qk000002b4gDIAQ","2025-02-28T14:58:06.000Z"
"0D5Qk00000Xxt8mKAB","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-02-28T14:59:10.000Z","What We've Learned Updated: -------
28.02.2025 
Customer uploaded logs but I do not see SPAA job scan logs in the bundle. Instead, there are only SEEK and SPAA exceptions logs. 

Suggested scheduling remote session to get as many details about NEA configuration and the issue.","","","","005Qk000002b4gDIAQ","2025-02-28T14:59:10.000Z"
"0D5Qk00000XxsJCKAZ","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-02-28T15:00:24.000Z","Next Steps Updated: Support will have a meeting with customer to clarify details of the issue.","","","","005Qk000002b4gDIAQ","2025-02-28T15:00:24.000Z"
"0D5Qk00000Y9YooKAF","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-03-04T11:18:42.000Z","What We've Learned Updated: -------
28.02.2025 
Customer uploaded logs but I do not see SPAA job scan logs in the bundle. Instead, there are only SEEK and SPAA exceptions logs. 

Suggested scheduling remote session to get as many details about NEA configuration and the issue.



------------
04.03.2025 

Customer is on 11.6.0.76. 
They are concerned about SharePoint Online SEEK system scan job performance.

Customer has 3799 SharePoint Online sites to scan. 
To lower the SEEK scan processing time they started scanning sites in batches (by running SDD scan against 10-15 sites at once) but at some point SDD scan started to take an abnormally long amounts of time event for a single site. 
At the moment they are scanning a single site with 1 level depth. 

Currently they are running SDD scan with these settings:
a Vitality_goinGymForBank site is selected for processing. 
don`t process files larger than 10 mb 
7 concurrent SDD threads 
Scan typical documents only 
Store discovered sensitive data is enabled. 
Site depth - 1 site 
SDD module is running locally on Stealth Audit server. 
around 32 Sensitive data criteria 
agent service scan is disabled. 


This last SEEK Job was started at 08 AM on 03.03.2025, and then the job got stuck at 13:37 03.03.2025 - ""DLP finished"" was the last line in the logs. 
But the job is still visible in console as ""running"". 
Job was started via schedule. 

We took memory dump of the NEA console, memory dump of the StealthAudit Job process and also collected debug logs from SADatabase folder and export the SEEK scan job logs. 

We killed the job process which made the last job run appear as ""Success"" in the console. 
After this we started bulk import job - bulk import was still running when I left meeting. 

We agreed with customer that once bulk import has finished, they will test SEEK scan with these settings to see if the SEEK job gets stuck again:
don`t process files larger than 2 mb 
Only 2 concurrent SDD threads 

In the meantime, support will escalate this issue to RnD.","","","","005Qk000002b4gDIAQ","2025-03-04T11:18:42.000Z"
"0D5Qk00000Y9YrNKAV","500Qk00000M3dkxIAB","TextPost","005Qk000002b4gDIAQ","2025-03-04T11:32:12.000Z","Next Steps Updated: Support will analyze logs collected from last meeting and then prepare escalation.","","","","005Qk000002b4gDIAQ","2025-03-04T11:32:12.000Z"
"0D5Qk00000YQznuKAD","500Qk00000M3dkxIAB","TextPost","0054u000007p4sbAAA","2025-03-06T10:07:54.000Z","Steps to Reproduce Updated: Run SP SEEK Scan","","","","0054u000007p4sbAAA","2025-03-06T10:07:54.000Z"
