"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000VuMBeKAN","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-01-31T22:20:07.000Z","Description: FSAA SystemIndexOutofRange","","","","005Qk000002AJWTIA4","2025-01-31T22:20:07.000Z"
"0D5Qk00000VuZnwKAF","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-01-31T23:15:25.000Z","What We've Learned Updated: IndexOutOfRange exception is being thrown and the FSAA scan seems to end abruptly with no errors. I suspect a resource error as we did see other scans and tasks such as the AIC struggling to start or run while other jobs were running. Upon stopping these jobs we were able to run other jobs successfully.","","","","005Qk000002AJWTIA4","2025-01-31T23:15:25.000Z"
"0D5Qk00000Vubb4KAB","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-01-31T23:15:37.000Z","Next Steps Updated: FSAA scan running with no other jobs scheduled. Awaiting results.","","","","005Qk000002AJWTIA4","2025-01-31T23:15:37.000Z"
"0D5Qk00000W1LxkKAF","500Qk00000LKqJLIA1","TextPost","0054u000007MiY9AAK","2025-02-03T17:29:36.000Z","<p>@Ian Ranstrom​ This will most likely need escalated but here are some next steps to try first:</p><ul><li>Do a clean upgrade/install of NEA following SOP, but include a reboot:</li></ul><ol><li>Uninstall NEA</li><li>Reboot host</li><li>Reinstall NEA</li></ol><p> </p><ul><li><u>If the error persists after that</u>, collect the following and follow Escalation SOP:<ul><li>Windows Event Application Log (if ok with customer)</li><li>NEA version and build #</li><li>FSAA Job log</li><li>NEA Application logs</li><li>SAJobEngine logs</li><li>Upgrade logs</li><li>Output csv from PS script [see below]</li></ul></li></ul><p> </p><p> </p><p><b>[PS Script for Collecting DLL Info]</b></p><p><i>Run this in admin PS ISE!</i></p><p> </p><p>param (</p><p>  [string]$FolderPath = &quot;C:PathtoNEA Install&quot;, # Change this to your desired folder path</p><p>  [string]$ExportPath = &quot;C:Pathtodll_info.csv&quot; # CSV export location</p><p>)</p><p> </p><p># Ensure the folder exists</p><p>if (!(Test-Path -Path $FolderPath)) {</p><p>  Write-Error &quot;The specified folder path does not exist.&quot;</p><p>  exit</p><p>}</p><p> </p><p># Get all DLL files in the specified folder and subfolders</p><p>$dllFiles = Get-ChildItem -Path $FolderPath -Recurse -Filter &quot;*.dll&quot; -ErrorAction SilentlyContinue</p><p> </p><p># Progress Bar for Entertainment</p><p>$totalFiles = $dllFiles.Count</p><p>$currentFile = 0</p><p> </p><p># Collect NEA DLL information</p><p>$dllInfo = foreach ($file in $dllFiles) {</p><p>  $currentFile++</p><p>  Write-Progress -Activity &quot;Processing DLL files&quot; -Status &quot;Processing $($file.Name)&quot; -PercentComplete (($currentFile / $totalFiles) * 100)</p><p> </p><p>  $versionInfo = [System.Diagnostics.FileVersionInfo]::GetVersionInfo($file.FullName)</p><p>  [PSCustomObject]@{</p><p>    Name       = $file.Name</p><p>    FilePath     = $file.FullName</p><p>    LastModifiedDate = $file.LastWriteTime</p><p>    FileDescription = $versionInfo.FileDescription</p><p>    FileVersion   = $versionInfo.FileVersion</p><p>  }</p><p>}</p><p> </p><p># Export the information to a CSV file</p><p>$dllInfo | Export-Csv -Path $ExportPath -NoTypeInformation -Encoding UTF8</p><p> </p><p>Write-Host &quot;DLL information has been exported to: $ExportPath&quot;</p>","","","","0054u000007MiY9AAK","2025-02-03T17:29:36.000Z"
"0D5Qk00000W1Ud6KAF","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-02-03T18:26:32.000Z","Invitation updated. Attendees: No attendees listed","","","","005Qk000002AJWTIA4","2025-02-03T18:26:32.000Z"
"0D5Qk00000W1Ud8KAF","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-02-03T18:26:33.000Z","Invitation updated. Attendees: Ian Ranstrom, Michael Kong","","","","005Qk000002AJWTIA4","2025-02-03T18:26:33.000Z"
"0D5Qk00000W1Ud7KAF","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-02-03T18:26:33.000Z","Invitation updated. Attendees: Ian Ranstrom","","","","005Qk000002AJWTIA4","2025-02-03T18:26:33.000Z"
"0D5Qk00000W394MKAR","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-02-03T23:22:07.000Z","What We've Learned Updated: IndexOutOfRange exception is being thrown and the FSAA scan seems to end abruptly with no errors. I suspect a resource error as we did see other scans and tasks such as the AIC struggling to start or run while other jobs were running. Upon stopping these jobs we were able to run other jobs successfully.

--------
02/03/2025
--------

Ran Tay's suggested plan. Scans seem to be working but previously they failed after multiple runs so we are waiting before we determine the issue is fixed.

Uninstalled the NEA console server.
Rebooted the console server.
Reinstalled to a new directory.
Ran the upgrade mode after reinstall.
Enabled debug logging.
Started FSAA scans.","","","","005Qk000002AJWTIA4","2025-02-03T23:22:07.000Z"
"0D5Qk00000WCY0jKAH","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-02-05T22:37:12.000Z","Description Updated: Issue appears to be a resource issue. When increasing nested level on FSAA scan the job stops without finishing.","","","","005Qk000002AJWTIA4","2025-02-05T22:37:12.000Z"
"0D5Qk00000WCOo6KAH","500Qk00000LKqJLIA1","TextPost","005Qk000002AJWTIA4","2025-02-05T22:37:30.000Z","Next Steps Updated: Logs uploaded and reviewing.","","","","005Qk000002AJWTIA4","2025-02-05T22:37:30.000Z"
