"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000Rb1IeKAJ","500Qk00000IhPjxIAF","TextPost","0054u000008ARZjAAO","2024-11-22T23:21:04.000Z","Description: In our environment we have a domain controller located at our office in the UK and we have StealthBits configured in line to the main Domain Controller in us data center. We have a solution in place to do remote scanning as we do not have an agent on the UK domain controller.  I believe the set up we have now is out of date and there is a better way to be doing this.  Is there any documentation you can share for better ways to do this remote scanning?","","","","0054u000008ARZjAAO","2024-11-22T23:21:04.000Z"
"0D5Qk00000RhbGRKAZ","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-11-25T13:48:31.000Z","Description Updated: In our environment we have a domain controller located at our office in the UK and we have StealthBits configured in line to the main Domain Controller in us data center. 

We have a solution in place to do remote scanning as we do not have an agent on the UK domain controller. 

I believe the set up we have now is out of date and there is a better way to be doing this. Is there any documentation you can share for better ways to do this remote scanning?","","","","00570000003KXurAAG","2024-11-25T13:48:31.000Z"
"0D5Qk00000StJSbKAN","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:01:15.000Z","Description Updated: Two node Windows File Server cluster (Active Passive) Fails when running scan via Local or Applet mode.

12/12/2024 16:05:31	DEBUG	FILESYSTEMACCESS	ActivityScanTask	""GetSessions failed with code 0x80004005""	
12/12/2024 16:05:31	ERROR	FILESYSTEMACCESS	ActivityScanTask	""Error scanning server (SecFs01c, SecFs01c): Retry timeout exceeded""	

Connection Status is ACCESS GRANTED","","","","00570000003KXurAAG","2024-12-12T22:01:15.000Z"
"0D5Qk00000StM4CKAV","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:03:42.000Z","Description Updated: In our environment we have a domain controller located at our office in the UK and we have StealthBits configured in line to the main Domain Controller in us data center. 

We have a solution in place to do remote scanning as we do not have an agent on the UK domain controller. 

I believe the set up we have now is out of date and there is a better way to be doing this. Is there any documentation you can share for better ways to do this remote scanning?","","","","00570000003KXurAAG","2024-12-12T22:03:42.000Z"
"0D5Qk00000StM4DKAV","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:03:42.000Z","What We've Learned Updated: Two node Windows File Server cluster (Active Passive) Fails when running scan via Local or Applet mode.

12/12/2024 16:05:31	DEBUG	FILESYSTEMACCESS	ActivityScanTask	""GetSessions failed with code 0x80004005""	
12/12/2024 16:05:31	ERROR	FILESYSTEMACCESS	ActivityScanTask	""Error scanning server (SecFs01c, SecFs01c): Retry timeout exceeded""	

Connection Status is ACCESS GRANTED

All nodes Test-NetConnection -ComputerName <HOST-NAME> -Port 8766 fail.

Local scan mode runs as expected for the Remote London Server.","","","","00570000003KXurAAG","2024-12-12T22:03:42.000Z"
"0D5Qk00000StNVCKA3","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:04:00.000Z","Next Steps Updated: Deep dive logs open SWAT post.","","","","00570000003KXurAAG","2024-12-12T22:04:00.000Z"
"0D5Qk00000StNBqKAN","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:25:52.000Z","<p><a href=""https://teams.microsoft.com/l/message/19:bfc03607c1094e528b56f819d6ec30cf@thread.tacv2/1734042298044?tenantId=097499ff-179d-4959-ab02-86d364125bfc&amp;groupId=72f83b71-3180-482b-b588-9595342c5a50&amp;parentMessageId=1734042298044&amp;teamName=SWAT%20Teams%3A%20Product%20Discussions%2C%20PM%20Q%26A%2C%20Feedback&amp;channelName=NEA%20DAG&amp;createdTime=1734042298044"" alt=""https://teams.microsoft.com/l/message/19:bfc03607c1094e528b56f819d6ec30cf@thread.tacv2/1734042298044?tenantId=097499ff-179d-4959-ab02-86d364125bfc&amp;groupId=72f83b71-3180-482b-b588-9595342c5a50&amp;parentMessageId=1734042298044&amp;teamName=SWAT%20Teams%3A%20Product%20Discussions%2C%20PM%20Q%26A%2C%20Feedback&amp;channelName=NEA%20DAG&amp;createdTime=1734042298044"" target=""_blank"">Dusty Grayson: FSAC Local scan issue: “GetSessions failed with code 0x80004005”</a></p><p>posted in SWAT Teams: Product Discussions, PM Q&amp;A, Feedback / NEA DAG on Thursday, December 12, 2024 5:24 PM</p>","","","","00570000003KXurAAG","2024-12-12T22:25:52.000Z"
"0D5Qk00000SthMEKAZ","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:28:23.000Z","<p>Set <b>Priority </b>&amp; <b>Severity </b>to <b>High </b>from Low as <b>Revenue </b>at Risk is <b>Yellow </b></p><p> </p><p><b>FSAC Scans have not worked for over 3 months.</b></p>","","","","00570000003KXurAAG","2024-12-12T22:28:23.000Z"
"0D5Qk00000StetGKAR","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:30:14.000Z","<p>12/12/2024 16:05:31 DEBUG          FILESYSTEMACCESS        ActivityScanTask           &quot;Acquiring deployment lock at \<b>SE***REDACTED***1d</b>C$Program Files (x86)STEALTHbitsStealthAUDITFSAA&quot; <b>SE***REDACTED***1C</b>    DCExtract           10588 6380   8548</p><p>12/12/2024 16:05:31 INFO  FILESYSTEMACCESS        ActivityScanTask           &quot;Deployment lock already held at \<b>SE***REDACTED***1d</b>C$Program Files (x86)STEALTHbitsStealthAUDITFSAA, waiting to retry...&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:06:19 DEBUG          FILESYSTEMACCESS        ActivityScanTask           &quot;Applet server already running and up to date on <b>SE***REDACTED***1d</b>, skipping deployment lock&quot;    <b>SE***REDACTED***1C</b>    DCExtract      10588           6380   8548</p><p>12/12/2024 16:06:40 DEBUG          FILESYSTEMACCESS        ActivityScanTask           <b>“GetSessions failed with code 0x80004005”</b>           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:07:01 DEBUG          FILESYSTEMACCESS        ActivityScanTask           <b>“GetSessions failed with code 0x80004005”</b>           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:07:01 <b>ERROR</b>         FILESYSTEMACCESS        ActivityScanTask           &quot;<b>ERROR</b> scanning server (<b>SE***REDACTED***1d</b>, <b>SE***REDACTED***1d</b>): Retry timeout exceeded&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:07:01 DEBUG          TSPADOEngineTransportItf.DebugLog           TSPEngineTransportItf.PrepareForTable     &quot;Start&quot;           <b>SE***REDACTED***1C</b>                10588 6380   8548</p><p>12/12/2024 16:07:01 DEBUG          TSPADOEngineTransportItf.DebugLog           TSPEngineTransportItf.PrepareForTable     &quot;End&quot;           <b>SE***REDACTED***1C</b>    Messages       10588 6380   8548</p><p>12/12/2024 16:07:01 DEBUG          FILESYSTEMACCESS           TDCEngineExtractItf.ExtractData    &quot;End&quot; <b>SE***REDACTED***1C</b>           DCExtract      10588 6380   8548</p><p>12/12/2024 16:07:01 DEBUG          TDCThread    TDCThread.ProcessHostData()           &quot;Task result: 0&quot;          <b>SE***REDACTED***1C</b>                1         6380           8548</p><p>12/12/2024 16:07:01 DEBUG          TDCThread    TDCThread.TaskIsDone           &quot;Notifying data pipe task is done&quot;     <b>SE***REDACTED***1C</b>                1           6380   8548</p><p>12/12/2024 16:07:01 INFO  StealthAUDIT            &quot;Task: Activity Scan returned no data, inserting empty row&quot;    <b>SE***REDACTED***1C</b>    Activity          1           6380   8548</p>","","","","00570000003KXurAAG","2024-12-12T22:30:14.000Z"
"0D5Qk00000Sti5OKAR","500Qk00000IhPjxIAF","TextPost","00570000003KXurAAG","2024-12-12T22:30:46.000Z","<p>Filtered for the Active node in the <b>1-FSAC System Scans_Log.tsv </b></p><p> </p><p>12/12/2024 16:04:22 DEBUG          FILESYSTEMACCESS        ActivityScanTask           &quot;Attempting to start applet server on remote host: <b>SE***REDACTED***1C</b>&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:04:43 DEBUG          FILESYSTEMACCESS        ActivityScanTask           &quot;Attempting to run scheduled task on <b>SE***REDACTED***1C</b> with credentials: K2**DOMAIN**ELSv**REDACTED**its&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:04:44 DEBUG          FILESYSTEMACCESS        ActivityScanTask           &quot;Applet server is unresponsive&quot;        <b>SE***REDACTED***1C</b>    DCExtract           10588 6380   8548</p><p>12/12/2024 16:05:10 DEBUG          FILESYSTEMACCESS        ActivityScanTask           <b>“GetSessions failed with code 0x80004005”</b>           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:05:31 DEBUG          FILESYSTEMACCESS        ActivityScanTask           <b>“GetSessions failed with code 0x80004005”</b>           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:05:31 <b>ERROR</b>         FILESYSTEMACCESS        ActivityScanTask           &quot;<b>ERROR</b> scanning server (<b>SE***REDACTED***1C</b>, <b>SE***REDACTED***1C</b>): Retry timeout exceeded&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:05:31 DEBUG          TSPADOEngineTransportItf.DebugLog           TSPEngineTransportItf.PrepareForTable     &quot;Start&quot;           <b>SE***REDACTED***1C</b>                10588 6380   8548</p><p>12/12/2024 16:05:31 DEBUG          TSPADOEngineTransportItf.DebugLog           TSPEngineTransportItf.PrepareForTable     &quot;End&quot;           <b>SE***REDACTED***1C</b>    Messages       10588 6380   8548</p><p>12/12/2024 16:05:31 INFO  FILESYSTEMACCESS        ActivityScanTask           &quot;Starting activity scan on server <b>SE***REDACTED***1d</b>&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p><p>12/12/2024 16:05:31 INFO  StealthAUDIT           THostConnection.GetOrderedSecurityMap &quot;Following credentials are preferred for the host <b>SE***REDACTED***1C</b> in profile &quot;Service Stealthbits&quot; : K2**DOMAIN**ELSv**REDACTED**its &quot;                                -1        6380           8548</p><p>12/12/2024 16:05:31 DEBUG          FILESYSTEMACCESS        ActivityScanTask           &quot;Acquiring deployment lock at \<b>SE***REDACTED***1d</b>C$Program Files (x86)STEALTHbitsStealthAUDITFSAA&quot; <b>SE***REDACTED***1C</b>    DCExtract           10588 6380   8548</p><p>12/12/2024 16:05:31 INFO  FILESYSTEMACCESS        ActivityScanTask           &quot;Deployment lock already held at \<b>SE***REDACTED***1d</b>C$Program Files (x86)STEALTHbitsStealthAUDITFSAA, waiting to retry...&quot;           <b>SE***REDACTED***1C</b>    DCExtract      10588 6380   8548</p>","","","","00570000003KXurAAG","2024-12-12T22:30:46.000Z"
