"Id","ParentId","Type","CreatedById","CreatedDate","Body","Title","LinkUrl","RelatedRecordId","InsertedById","LastModifiedDate"
"0D5Qk00000PZwEBKA1","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2024-10-28T19:09:38.000Z","What We've Learned Updated: FSAA Logs for the host in question DRF-ERNIE2 have current FSAA and FSAC but no SDD logs","","","","00570000003KXurAAG","2024-10-28T19:09:38.000Z"
"0D5Qk00000PZwECKA1","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2024-10-28T19:09:38.000Z","Next Steps Updated: Have Dev confirm the issue as to way this host will not scan new SDD differentials when other host on the same Proxy can. ( not all however ERNIE2 is the priority) 

Log will be posted once the 7zip archive completes.","","","","00570000003KXurAAG","2024-10-28T19:09:38.000Z"
"0D5Qk00000S6A9dKAF","500Qk00000GIxBiIAL","TextPost","0054u000007MiY9AAK","2024-12-02T15:45:46.000Z","Next Steps Updated: Backlogged until 2025","","","","0054u000007MiY9AAK","2024-12-02T15:45:46.000Z"
"0D5Qk00000UKuF7KAL","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-06T22:07:27.000Z","Invitation updated. Attendees: No attendees listed","","","","00570000003KXurAAG","2025-01-06T22:07:27.000Z"
"0D5Qk00000UKuF9KAL","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-06T22:07:27.000Z","Invitation updated. Attendees: Dusty Grayson, Tay Caliguiri, Steven Schiesl","","","","00570000003KXurAAG","2025-01-06T22:07:27.000Z"
"0D5Qk00000UKuF8KAL","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-06T22:07:27.000Z","Invitation updated. Attendees: Dusty Grayson, Tay Caliguiri","","","","00570000003KXurAAG","2025-01-06T22:07:27.000Z"
"0D5Qk00000UT04sKAD","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-08T18:05:20.000Z","<p>1/6 4:55 PM</p><p>Tay Caliguiri: Did you try dropping data and seek t2s</p><p> </p><p>Dusty Grayson: I do not recall and I do not see it in the follow-up emails</p><p> </p><p>1/6 5:03 PM</p><p>Tay Caliguiri: Any chance I can get you to schedule a meeting with them and see if that clears up the issue? Dev isn&#39;t going to look at this under Feb-March at best</p><p> </p><p>1/6 5:04 PM</p><p>Dusty Grayson : Feb-March??? </p><p>R&amp;D wants us to clear the T2s on the Proxy and NEA host?</p><p>other systems on the same Proxy are working.</p><p> </p><p>Tay Caliguiri</p><p>1/6 5:06 PM</p><p>It&#39;s a P3 and P2s aren&#39;t getting touched until late January</p><p> </p><p>I don&#39;t think it&#39;s a proxy issue. I think it&#39;s an issue with the t2 dbs. Because SDD is overwritten with each scan, it shouldn&#39;t hurt to remove (or rename) the T2s and try a &quot;fresh&quot; scan</p>","","","","00570000003KXurAAG","2025-01-08T18:05:20.000Z"
"0D5Qk00000UuXA1KAN","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-15T21:30:34.000Z","Invitation updated. Attendees: Dusty Grayson, Steven Schiesl, Tay Caliguiri","","","","00570000003KXurAAG","2025-01-15T21:30:34.000Z"
"0D5Qk00000UuXA0KAN","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-15T21:30:34.000Z","Invitation updated. Attendees: Dusty Grayson","","","","00570000003KXurAAG","2025-01-15T21:30:34.000Z"
"0D5Qk00000VifipKAB","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-29T14:00:35.000Z","<p>@Tay Caliguiri​ your thoughts on the last email?  If they are running on Thursday and not Tuesday (now in reverse for some host) I would think this is due to a resource issue on the Proxy, its just odd that it is all the same systems as I recall that kick off on both days.</p>","","","","00570000003KXurAAG","2025-01-29T14:00:35.000Z"
"0D5Qk00000Vj3ExKAJ","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-29T15:05:39.000Z","Invitation updated. Attendees: Dusty Grayson, Tay Caliguiri, Nicholas Zimmer","","","","00570000003KXurAAG","2025-01-29T15:05:39.000Z"
"0D5Qk00000Vj3EyKAJ","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-01-29T15:05:39.000Z","Invitation updated. Attendees: Dusty Grayson, Tay Caliguiri, Nicholas Zimmer, Steven Schiesl","","","","00570000003KXurAAG","2025-01-29T15:05:39.000Z"
"0D5Qk00000Wz0nTKAR","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-02-13T21:35:57.000Z","<p>Team,</p><p> </p><p>Per our call today within the Netwrix Enterprise Auditor (<b>NEA</b>) ran the Drop Data for the rest of the host that were on the same Proxy that Ernie2 was using.</p><p> </p><p>We then manually deleted the Ter 2 (SQLite) DBs from the NEA FSSA path as well as the Proxy host FSAA folder path.</p><p> </p><p><b>Ram the following jobs</b></p><p>Jobs &gt; Z.Sandbox &gt; FS_DropTables  &lt;&lt; for only the 3. Drop FSDLP Tables</p><p>Jobs &gt; FileSystem &gt; 3.Prep &gt; 0-Create Schema</p><p> </p><p>Kicked of Zero level SDD scans for the host in question until we had all Successful.</p><p> </p><p>Steven will re-increase the scan depth per his discretion and note any issues between the Tuesday and Thursday scans.</p><p> </p><p>Please let me know how the next set of scans complete.</p><p> </p><p>Again, thank You for your time.</p><p> </p><p>@Nicholas Zimmer​  any additional details you would like on this follow up email?</p><p> </p><p>Thanks for the back up on this case and call today to you and @Tay Caliguiri​ </p>","","","","00570000003KXurAAG","2025-02-13T21:35:57.000Z"
"0D5Qk00000XTjPMKA1","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-02-21T21:36:49.000Z","Invitation updated. Attendees: Dusty Grayson, Steven Schiesl","","","","00570000003KXurAAG","2025-02-21T21:36:49.000Z"
"0D5Qk00000YWORyKAP","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-03-06T22:54:41.000Z","Steps to Reproduce Updated: Issues seems to have resulted from improper Scan completion (job termination) corrupting the Tier2 DBs.","","","","00570000003KXurAAG","2025-03-06T22:54:41.000Z"
"0D5Qk00000YWJxfKAH","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-03-06T23:26:28.000Z","Next Steps Updated: Awaiting New Scnas post re-building the Trier 2 DBs for all host","","","","00570000003KXurAAG","2025-03-06T23:26:28.000Z"
"0D5Qk00000Z9o34KAB","500Qk00000GIxBiIAL","TextPost","00570000003KXurAAG","2025-03-13T20:15:51.000Z","Steps to Reproduce Updated: Issues seems to have resulted from improper Scan completion (job termination) corrupting the Tier2 DBs.

Not able to actively replicate within a lab","","","","00570000003KXurAAG","2025-03-13T20:15:51.000Z"
